Window_Num,Num_Packets,Avg_DNP3_Length,F0_Confirm,F1_Read,F2_Write,F4_Operate,F5_DirectOperate,F6_DirectOperate_NoResp,F13_ColdRestart,F14_WarmRestart,F129_Response,F130_UnsolicitedResponse,IIN_Val_Change,Analog_Input_Change,Binary_Input_Change,Src_Port_Changed,Dst_Port_Changed,Label
1,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,
2,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,
3,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,
4,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,
5,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,
6,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,
7,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,
8,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,
9,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,
10,6,23.17,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,
11,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,
12,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,
13,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,
14,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,
15,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,
16,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,
17,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,
18,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,
19,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,
20,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,
21,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,
22,5,25.8,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,
23,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,
24,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,
25,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,
26,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,
27,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,
28,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,
29,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,
30,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,
31,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,
32,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,
33,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,
34,5,25.8,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,
35,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,
36,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,
37,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,
38,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,
39,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,
40,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,
41,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,
42,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,
43,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,
44,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,
45,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,
46,7,21.29,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,
47,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,
48,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,
49,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,
50,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,
51,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,
52,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,
53,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,
54,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,
55,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,
