Window_Num,Num_Packets,Avg_DNP3_Length,F0_Confirm,F1_Read,F2_Write,F4_Operate,F5_DirectOperate,F6_DirectOperate_NoResp,F13_ColdRestart,F14_WarmRestart,F129_Response,F130_UnsolicitedResponse,IIN_Val_Change,Analog_Input_Change,Binary_Input_Change,Src_Port_Changed,Dst_Port_Changed,Label
1,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,4,17.75,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,3,18.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,3,18.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
46,4,17.75,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,
47,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
48,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
53,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
54,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
55,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
56,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
58,4,17.75,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,
59,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
61,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
62,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
63,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
64,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
66,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
67,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
