Window_Num,Num_Packets,Avg_Length,Flag_Ack,Flag_Retransmission,Flag_Reset,Flag_Syn,Flag_Fin,Src_Port_Changed,Dst_Port_Changed,Round_Trip_Time,Label
1,2,66,1,0,0,0,0,0,0,0.000928,
2,3,66,1,0,0,0,0,0,0,0.001171,
3,2,66,1,0,0,0,0,0,0,0.00084,
4,3,66,1,0,0,0,0,0,0,0.000759,
5,2,66,1,0,0,0,0,0,0,0.000819,
6,3,66,1,0,0,0,0,0,0,0.006491,
7,2,66,1,0,0,0,0,0,0,0.004371,
8,3,66,1,0,0,0,0,0,0,0.00198,
9,2,66,1,0,0,0,0,0,0,0.005221,
10,4,66,1,0,0,0,0,0,0,0.002103,
11,2,66,1,0,0,0,0,0,0,0.006414,
12,2,66,1,0,0,0,0,0,0,0.001997,
13,3,66,1,0,0,0,0,0,0,0.000851,
14,2,66,1,0,0,0,0,0,0,0.000858,
15,3,66,1,0,0,0,0,0,0,0.001129,
16,2,66,1,0,0,0,0,0,0,0.000757,
17,3,66,1,0,0,0,0,0,0,0.003685,
18,2,66,1,0,0,0,0,0,0,0.002059,
19,3,66,1,0,0,0,0,0,0,0.002058,
20,2,66,1,0,0,0,0,0,0,0.001616,
21,3,66,1,0,0,0,0,0,0,0.000852,
22,3,66,1,0,0,0,0,0,0,0.000877,
23,3,66,1,0,0,0,0,0,0,0.001161,
24,2,66,1,0,0,0,0,0,0,0.000848,
25,3,66,1,0,0,0,0,0,0,0.001055,
26,2,66,1,0,0,0,0,0,0,0.000868,
27,3,66,1,0,0,0,0,0,0,0.001155,
28,2,66,1,0,0,0,0,0,0,0.006367,
29,3,66,1,0,0,0,0,0,0,0.000765,
30,2,66,1,0,0,0,0,0,0,0.000889,
31,3,66,1,0,0,0,0,0,0,0.001177,
32,2,66,1,0,0,0,0,0,0,0.005469,
33,3,66,1,0,0,0,0,0,0,0.003055,
34,3,66,1,0,0,0,0,0,0,0.004115,
35,3,66,1,0,0,0,0,0,0,0.003705,
36,2,66,1,0,0,0,0,0,0,0.001325,
37,3,66,1,0,0,0,0,0,0,0.008916,
38,2,66,1,0,0,0,0,0,0,0.006024,
39,3,66,1,0,0,0,0,0,0,0.001653,
40,2,66,1,0,0,0,0,0,0,0.000816,
41,3,66,1,0,0,0,0,0,0,0.000964,
42,2,66,1,0,0,0,0,0,0,0.000761,
43,2,66,1,0,0,0,0,0,0,0.000903,
44,3,66,1,0,0,0,0,0,0,0.001185,
45,2,66,1,0,0,0,0,0,0,0.000881,
46,4,66,1,0,0,0,0,0,0,0.002617,
47,2,66,1,0,0,0,0,0,0,0.000877,
48,3,66,1,0,0,0,0,0,0,0.000855,
49,2,66,1,0,0,0,0,0,0,0.001219,
50,3,66,1,0,0,0,0,0,0,0.001615,
51,2,66,1,0,0,0,0,0,0,0.000871,
52,3,66,1,0,0,0,0,0,0,0.011414,
53,2,66,1,0,0,0,0,0,0,0.001104,
54,3,66,1,0,0,0,0,0,0,0.00378,
55,2,66,1,0,0,0,0,0,0,0.004265,
56,3,66,1,0,0,0,0,0,0,0.000776,
57,2,66,1,0,0,0,0,0,0,0.001161,
58,4,66,1,0,0,0,0,0,0,0.000808,
59,2,66,1,0,0,0,0,0,0,0.000879,
60,3,66,1,0,0,0,0,0,0,0.001334,
61,2,66,1,0,0,0,0,0,0,0.000846,
62,3,66,1,0,0,0,0,0,0,0.001909,
63,2,66,1,0,0,0,0,0,0,0.003726,
64,3,66,1,0,0,0,0,0,0,0.004615,
