Window_Num,Num_Packets,Avg_DNP3_Length,F0_Confirm,F1_Read,F2_Write,F4_Operate,F5_DirectOperate,F6_DirectOperate_NoResp,F13_ColdRestart,F14_WarmRestart,F129_Response,F130_UnsolicitedResponse,IIN_Val_Change,Analog_Input_Change,Binary_Input_Change,Src_Port_Changed,Dst_Port_Changed,Label
415,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
416,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
417,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
418,4,29.75,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,
419,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
420,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
421,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
422,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
423,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
424,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
425,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
426,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
427,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
428,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
429,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
430,4,29.75,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,
431,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
432,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
433,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
434,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
435,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
436,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
437,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
438,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
439,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
440,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
441,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
442,3,36.33,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
443,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
444,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
445,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
446,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
447,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
448,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
449,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
450,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
451,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
452,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
453,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
454,3,36.33,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
455,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
456,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
457,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
