Window_Num,Num_Packets,Avg_Length,Flag_Ack,Flag_Retransmission,Flag_Reset,Flag_Syn,Flag_Fin,Src_Port_Changed,Dst_Port_Changed,Round_Trip_Time,Label
1,4,66,1,0,0,0,0,0,0,1.8e-05,
2,5,66,1,0,0,0,0,0,0,2.8e-05,
3,5,66,1,0,0,0,0,0,0,3.2e-05,
4,5,66,1,0,0,0,0,0,0,1e-05,
5,4,66,1,0,0,0,0,0,0,2.8e-05,
6,6,66,1,0,0,0,0,0,0,1e-05,
7,4,66,1,0,0,0,0,0,0,2.2e-05,
8,6,66,1,0,0,0,0,0,0,2.3e-05,
9,4,66,1,0,0,0,0,0,0,1.3e-05,
10,6,66,1,0,0,0,0,0,0,9e-06,
11,5,66,1,0,0,0,0,0,0,2.8e-05,
12,4,66,1,0,0,0,0,0,0,2.9e-05,
13,6,66,1,0,0,0,0,0,0,1.2e-05,
14,4,66,1,0,0,0,0,0,0,1.4e-05,
15,5,66,1,0,0,0,0,0,0,1.2e-05,
16,5,66,1,0,0,0,0,0,0,1.3e-05,
17,5,66,1,0,0,0,0,0,0,2.9e-05,
18,5,66,1,0,0,0,0,0,0,2.8e-05,
19,5,66,1,0,0,0,0,0,0,2.6e-05,
20,4,66,1,0,0,0,0,0,0,9e-06,
21,6,66,1,0,0,0,0,0,0,2.8e-05,
22,5,66,1,0,0,0,0,0,0,1e-05,
23,6,66,1,0,0,0,0,0,0,1.2e-05,
24,4,66,1,0,0,0,0,0,0,1.4e-05,
25,5,66,1,0,0,0,0,0,0,2.8e-05,
26,5,66,1,0,0,0,0,0,0,1.9e-05,
27,5,66,1,0,0,0,0,0,0,3e-05,
28,5,66,1,0,0,0,0,0,0,1.3e-05,
29,5,66,1,0,0,0,0,0,0,1e-05,
30,4,66,1,0,0,0,0,0,0,1e-05,
31,6,66,1,0,0,0,0,0,0,2.4e-05,
32,4,66,1,0,0,0,0,0,0,1e-05,
33,6,66,1,0,0,0,0,0,0,2.6e-05,
34,5,66,1,0,0,0,0,0,0,2.5e-05,
35,5,66,1,0,0,0,0,0,0,9e-06,
36,5,66,1,0,0,0,0,0,0,1.6e-05,
37,5,66,1,0,0,0,0,0,0,1e-05,
38,5,66,1,0,0,0,0,0,0,5.5e-05,
39,5,66,1,0,0,0,0,0,0,3e-05,
40,4,66,1,0,0,0,0,0,0,9e-06,
41,6,66,1,0,0,0,0,0,0,6e-06,
42,4,66,1,0,0,0,0,0,0,1e-05,
43,5,66,1,0,0,0,0,0,0,3.3e-05,
44,5,66,1,0,0,0,0,0,0,2.6e-05,
45,4,66,1,0,0,0,0,0,0,9e-06,
46,7,66,1,0,0,0,0,0,0,1e-05,
47,4,66,1,0,0,0,0,0,0,1.1e-05,
48,6,66,1,0,0,0,0,0,0,1.2e-05,
49,4,66,1,0,0,0,0,0,0,3.5e-05,
50,5,66,1,0,0,0,0,0,0,1e-05,
51,5,66,1,0,0,0,0,0,0,1.3e-05,
52,5,66,1,0,0,0,0,0,0,2.6e-05,
53,5,66,1,0,0,0,0,0,0,2.8e-05,
54,5,66,1,0,0,0,0,0,0,9e-06,
55,4,66,1,0,0,0,0,0,0,2.6e-05,
56,6,66,1,0,0,0,0,0,0,9e-06,
57,4,66,1,0,0,0,0,0,0,2.3e-05,
58,7,66,1,0,0,0,0,0,0,1e-05,
59,4,66,1,0,0,0,0,0,0,4.3e-05,
60,5,66,1,0,0,0,0,0,0,9e-06,
61,5,66,1,0,0,0,0,0,0,1.3e-05,
62,5,66,1,0,0,0,0,0,0,1e-05,
63,5,66,1,0,0,0,0,0,0,2.7e-05,
64,5,66,1,0,0,0,0,0,0,9e-06,
65,4,66,1,0,0,0,0,0,0,1e-05,
66,6,66,1,0,0,0,0,0,0,3.2e-05,
67,4,66,1,0,0,0,0,0,0,2.3e-05,
68,6,66,1,0,0,0,0,0,0,1e-05,
69,4,66,1,0,0,0,0,0,0,1.3e-05,
70,6,66,1,0,0,0,0,0,0,9e-06,
71,5,66,1,0,0,0,0,0,0,1.2e-05,
72,5,66,1,0,0,0,0,0,0,1e-05,
73,5,66,1,0,0,0,0,0,0,1.3e-05,
74,4,66,1,0,0,0,0,0,0,1.5e-05,
75,5,66,1,0,0,0,0,0,0,1e-05,
76,5,66,1,0,0,0,0,0,0,2.8e-05,
77,5,66,1,0,0,0,0,0,0,9e-06,
78,5,66,1,0,0,0,0,0,0,3e-05,
79,5,66,1,0,0,0,0,0,0,9e-06,
80,4,66,1,0,0,0,0,0,0,2.5e-05,
81,6,66,1,0,0,0,0,0,0,1.2e-05,
82,5,66,1,0,0,0,0,0,0,9e-06,
83,5,66,1,0,0,0,0,0,0,2.3e-05,
84,5,66,1,0,0,0,0,0,0,3.2e-05,
85,5,66,1,0,0,0,0,0,0,2.4e-05,
86,5,66,1,0,0,0,0,0,0,1.4e-05,
87,5,66,1,0,0,0,0,0,0,1e-05,
88,5,66,1,0,0,0,0,0,0,1.3e-05,
89,5,66,1,0,0,0,0,0,0,2.3e-05,
90,4,66,1,0,0,0,0,0,0,1.2e-05,
91,6,66,1,0,0,0,0,0,0,9e-06,
92,4,66,1,0,0,0,0,0,0,2.4e-05,
93,5,66,1,0,0,0,0,0,0,2.3e-05,
94,6,66,1,0,0,0,0,0,0,1.3e-05,
95,5,66,1,0,0,0,0,0,0,1e-05,
96,5,66,1,0,0,0,0,0,0,1.3e-05,
97,5,66,1,0,0,0,0,0,0,9e-06,
98,4,66,1,0,0,0,0,0,0,9e-06,
99,6,66,1,0,0,0,0,0,0,2.3e-05,
100,4,66,1,0,0,0,0,0,0,9e-06,
101,6,66,1,0,0,0,0,0,0,1e-05,
102,4,66,1,0,0,0,0,0,0,0.04017,
103,5,66,1,0,0,0,0,0,0,2.8e-05,
104,5,66,1,0,0,0,0,0,0,1.3e-05,
105,4,66,1,0,0,0,0,0,0,1.2e-05,
106,7,66,1,0,0,0,0,0,0,1.2e-05,
107,4,66,1,0,0,0,0,0,0,1.9e-05,
108,5,66,1,0,0,0,0,0,0,1e-05,
