Window_Num,Num_Packets,Avg_DNP3_Length,F0_Confirm,F1_Read,F2_Write,F4_Operate,F5_DirectOperate,F6_DirectOperate_NoResp,F13_ColdRestart,F14_WarmRestart,F129_Response,F130_UnsolicitedResponse,IIN_Val_Change,Data_Object_Change,Src_Port_Changed,Dst_Port_Changed
9712,1,17.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9713,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9714,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9715,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9716,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9717,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9718,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9719,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9720,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9721,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9722,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9723,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9724,3,18.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9725,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9726,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9727,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9728,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9729,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9730,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9731,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9732,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9733,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9734,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9735,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9736,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9737,4,17.75,0,4,0,0,0,0,0,0,0,0,0,0,0,0
9738,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9739,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9740,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9741,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9742,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9743,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9744,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9745,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9746,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9747,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9748,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9749,3,18.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9750,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9751,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9752,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9753,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9754,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9755,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9756,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9757,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9758,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9759,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9760,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9761,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9762,3,18.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9763,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9764,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9765,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9766,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9767,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9768,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9769,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9770,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9771,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9772,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9773,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9774,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9775,3,18.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9776,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9777,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9778,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9779,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9780,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9781,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9782,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9783,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9784,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9785,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9786,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9787,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9788,4,17.75,0,4,0,0,0,0,0,0,0,0,0,0,0,0
9789,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9790,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9791,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9792,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9793,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9794,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9795,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9796,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9797,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9798,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9799,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9800,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9801,3,18.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9802,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9803,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9804,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9805,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9806,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9807,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9808,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9809,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9810,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9811,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9812,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9813,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9814,4,17.75,0,4,0,0,0,0,0,0,0,0,0,0,0,0
9815,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9816,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9817,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9818,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
