Window_Num,Num_Packets,Avg_DNP3_Length,F0_Confirm,F1_Read,F2_Write,F4_Operate,F5_DirectOperate,F6_DirectOperate_NoResp,F13_ColdRestart,F14_WarmRestart,F129_Response,F130_UnsolicitedResponse,IIN_Val_Change,Data_Object_Change,Src_Port_Changed,Dst_Port_Changed
6502,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6503,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6504,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6505,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6506,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6507,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6508,4,17.75,0,4,0,0,0,0,0,0,0,0,0,0,0,0
6509,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6510,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6511,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6512,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6513,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6514,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6515,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6516,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6517,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6518,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6519,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6520,3,18.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6521,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6522,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6523,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6524,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6525,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6526,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6527,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6528,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6529,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6530,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6531,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6532,3,18.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6533,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6534,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6535,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6536,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6537,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6538,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6539,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6540,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6541,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6542,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6543,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6544,4,17.75,0,4,0,0,0,0,0,0,0,0,0,0,0,0
6545,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6546,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6547,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6548,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6549,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6550,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6551,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6552,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6553,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6554,4,14.75,1,3,0,0,0,0,0,0,0,0,0,0,0,0
6555,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6556,4,17.75,0,4,0,0,0,0,0,0,0,0,0,0,0,0
6557,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6558,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6559,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6560,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6561,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6562,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6563,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6564,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6565,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6566,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6567,3,14.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
6568,4,17.75,0,4,0,0,0,0,0,0,0,0,0,0,0,0
6569,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6570,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6571,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6572,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6573,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6574,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6575,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6576,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6577,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6578,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6579,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6580,3,18.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6581,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6582,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6583,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6584,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6585,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6586,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6587,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6588,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6589,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6590,3,14.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
6591,4,14.75,1,3,0,0,0,0,0,0,0,0,0,0,0,0
6592,3,18.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6593,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6594,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6595,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6596,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6597,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6598,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6599,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6600,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6601,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6602,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6603,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6604,4,17.75,0,4,0,0,0,0,0,0,0,0,0,0,0,0
6605,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6606,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6607,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6608,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6609,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6610,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6611,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6612,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6613,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6614,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6615,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6616,4,17.75,0,4,0,0,0,0,0,0,0,0,0,0,0,0
6617,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6618,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6619,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6620,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
