Window_Num,Num_Packets,Avg_Length,Num_Streams,Flag_Ack,Flag_Retransmission,Flag_Reset,Flag_Syn,Flag_Fin,Src_Port_Changed,Dst_Port_Changed,Round_Trip_Time
10693,3,66.0,1,1,0,0,0,0,0,0,0.000884
10694,2,66.0,1,1,0,0,0,0,0,0,0.001089
10695,3,66.0,1,1,0,0,0,0,0,0,0.000771
10696,2,66.0,1,1,0,0,0,0,0,0,0.003378
10697,2,66.0,1,1,0,0,0,0,0,0,0.000739
10698,3,66.0,1,1,0,0,0,0,0,0,0.002338
10699,2,66.0,1,1,0,0,0,0,0,0,0.003445
10700,3,66.0,1,1,0,0,0,0,0,0,0.006306
10701,2,66.0,1,1,0,0,0,0,0,0,0.000982
10702,3,66.0,1,1,0,0,0,0,0,0,0.001236
10703,2,66.0,1,1,0,0,0,0,0,0,0.000871
10704,4,66.0,1,1,0,0,0,0,0,0,0.001076
10705,2,66.0,1,1,0,0,0,0,0,0,0.000859
10706,3,66.0,1,1,0,0,0,0,0,0,0.00126
10707,2,66.0,1,1,0,0,0,0,0,0,0.00185
10708,3,66.0,1,1,0,0,0,0,0,0,0.002734
10709,2,66.0,1,1,0,0,0,0,0,0,0.003633
10710,3,66.0,1,1,0,0,0,0,0,0,0.000802
10711,2,66.0,1,1,0,0,0,0,0,0,0.000982
10712,3,66.0,1,1,0,0,0,0,0,0,0.001256
10713,2,66.0,1,1,0,0,0,0,0,0,0.00077
10714,3,66.0,1,1,0,0,0,0,0,0,0.001123
10715,2,66.0,1,1,0,0,0,0,0,0,0.004377
10716,4,66.0,1,1,0,0,0,0,0,0,0.005406
10717,2,66.0,1,1,0,0,0,0,0,0,0.003952
10718,3,66.0,1,1,0,0,0,0,0,0,0.003039
10719,2,66.0,1,1,0,0,0,0,0,0,0.001154
10720,3,66.0,1,1,0,0,0,0,0,0,0.00147
10721,2,66.0,1,1,0,0,0,0,0,0,0.000799
10722,3,66.0,1,1,0,0,0,0,0,0,0.001244
10723,2,66.0,1,1,0,0,0,0,0,0,0.000826
10724,3,66.0,1,1,0,0,0,0,0,0,0.001173
10725,2,66.0,1,1,0,0,0,0,0,0,0.000827
10726,3,66.0,1,1,0,0,0,0,0,0,0.000974
10727,2,66.0,1,1,0,0,0,0,0,0,0.001204
10728,3,66.0,1,1,0,0,0,0,0,0,0.001383
10729,3,66.0,1,1,0,0,0,0,0,0,0.001026
10730,2,66.0,1,1,0,0,0,0,0,0,0.000867
10731,3,66.0,1,1,0,0,0,0,0,0,0.003143
10732,2,66.0,1,1,0,0,0,0,0,0,0.002137
10733,3,66.0,1,1,0,0,0,0,0,0,0.011759
10734,2,66.0,1,1,0,0,0,0,0,0,0.010737
10735,3,66.0,1,1,0,0,0,0,0,0,0.004993
10736,2,66.0,1,1,0,0,0,0,0,0,0.003826
10737,3,66.0,1,1,0,0,0,0,0,0,0.001411
10738,2,66.0,1,1,0,0,0,0,0,0,0.00493
10739,3,66.0,1,1,0,0,0,0,0,0,0.001107
10740,3,66.0,1,1,0,0,0,0,0,0,0.000815
10741,3,66.0,1,1,0,0,0,0,0,0,0.000935
10742,2,66.0,1,1,0,0,0,0,0,0,0.001204
10743,3,66.0,1,1,0,0,0,0,0,0,0.001057
10744,2,66.0,1,1,0,0,0,0,0,0,0.001152
10745,3,66.0,1,1,0,0,0,0,0,0,0.00228
10746,2,66.0,1,1,0,0,0,0,0,0,0.000891
10747,3,66.0,1,1,0,0,0,0,0,0,0.00623
10748,2,66.0,1,1,0,0,0,0,0,0,0.000769
10749,3,66.0,1,1,0,0,0,0,0,0,0.000903
10750,2,66.0,1,1,0,0,0,0,0,0,0.000938
10751,3,66.0,1,1,0,0,0,0,0,0,0.001033
10752,3,66.0,1,1,0,0,0,0,0,0,0.002945
10753,3,66.0,1,1,0,0,0,0,0,0,0.004858
10754,2,66.0,1,1,0,0,0,0,0,0,0.000967
10755,3,66.0,1,1,0,0,0,0,0,0,0.001154
10756,2,66.0,1,1,0,0,0,0,0,0,0.001071
10757,3,66.0,1,1,0,0,0,0,0,0,0.001119
10758,2,66.0,1,1,0,0,0,0,0,0,0.00106
10759,2,66.0,1,1,0,0,0,0,0,0,0.001071
10760,3,66.0,1,1,0,0,0,0,0,0,0.006231
10761,2,66.0,1,1,0,0,0,0,0,0,0.005807
10762,3,66.0,1,1,0,0,0,0,0,0,0.001493
10763,2,66.0,1,1,0,0,0,0,0,0,0.005535
10764,4,66.0,1,1,0,0,0,0,0,0,0.001905
10765,2,66.0,1,1,0,0,0,0,0,0,0.001085
10766,3,66.0,1,1,0,0,0,0,0,0,0.000826
10767,2,66.0,1,1,0,0,0,0,0,0,0.011536
10768,3,66.0,1,1,0,0,0,0,0,0,0.000756
10769,2,66.0,1,1,0,0,0,0,0,0,0.009406
10770,3,66.0,1,1,0,0,0,0,0,0,0.001942
10771,2,66.0,1,1,0,0,0,0,0,0,0.001478
10772,3,66.0,1,1,0,0,0,0,0,0,0.001104
10773,2,66.0,1,1,0,0,0,0,0,0,0.000979
10774,3,66.0,1,1,0,0,0,0,0,0,0.000817
10775,2,66.0,1,1,0,0,0,0,0,0,0.001334
10776,4,66.0,1,1,0,0,0,0,0,0,0.000768
10777,2,66.0,1,1,0,0,0,0,0,0,0.001245
10778,3,66.0,1,1,0,0,0,0,0,0,0.000826
10779,2,66.0,1,1,0,0,0,0,0,0,0.001128
10780,3,66.0,1,1,0,0,0,0,0,0,0.001349
10781,2,66.0,1,1,0,0,0,0,0,0,0.00096
