Window_Num,Num_Packets,Avg_Length,Num_Streams,Flag_Ack,Flag_Retransmission,Flag_Reset,Flag_Syn,Flag_Fin,Src_Port_Changed,Dst_Port_Changed,Round_Trip_Time
10693,3,66.0,1,1,0,0,0,0,0,0,9e-06
10694,2,66.0,1,1,0,0,0,0,0,0,9e-06
10695,3,66.0,1,1,0,0,0,0,0,0,9e-06
10696,2,66.0,1,1,0,0,0,0,0,0,1e-05
10697,2,66.0,1,1,0,0,0,0,0,0,9e-06
10698,3,66.0,1,1,0,0,0,0,0,0,1.1e-05
10699,2,66.0,1,1,0,0,0,0,0,0,1e-05
10700,3,66.0,1,1,0,0,0,0,0,0,9e-06
10701,2,66.0,1,1,0,0,0,0,0,0,7e-06
10702,3,66.0,1,1,0,0,0,0,0,0,2.3e-05
10703,2,66.0,1,1,0,0,0,0,0,0,9e-06
10704,4,66.0,1,1,0,0,0,0,0,0,2.1e-05
10705,2,66.0,1,1,0,0,0,0,0,0,1e-05
10706,3,66.0,1,1,0,0,0,0,0,0,1e-05
10707,2,66.0,1,1,0,0,0,0,0,0,1e-05
10708,3,66.0,1,1,0,0,0,0,0,0,9e-06
10709,2,66.0,1,1,0,0,0,0,0,0,9e-06
10710,3,66.0,1,1,0,0,0,0,0,0,2.4e-05
10711,2,66.0,1,1,0,0,0,0,0,0,9e-06
10712,3,66.0,1,1,0,0,0,0,0,0,2.8e-05
10713,2,66.0,1,1,0,0,0,0,0,0,2.5e-05
10714,3,66.0,1,1,0,0,0,0,0,0,9e-06
10715,2,66.0,1,1,0,0,0,0,0,0,3.3e-05
10716,4,66.0,1,1,0,0,0,0,0,0,2.3e-05
10717,2,66.0,1,1,0,0,0,0,0,0,9e-06
10718,3,66.0,1,1,0,0,0,0,0,0,8e-06
10719,2,66.0,1,1,0,0,0,0,0,0,2.3e-05
10720,3,66.0,1,1,0,0,0,0,0,0,2.4e-05
10721,2,66.0,1,1,0,0,0,0,0,0,9e-06
10722,3,66.0,1,1,0,0,0,0,0,0,2.7e-05
10723,2,66.0,1,1,0,0,0,0,0,0,2.3e-05
10724,3,66.0,1,1,0,0,0,0,0,0,3.3e-05
10725,2,66.0,1,1,0,0,0,0,0,0,2.2e-05
10726,3,66.0,1,1,0,0,0,0,0,0,9e-06
10727,2,66.0,1,1,0,0,0,0,0,0,2.3e-05
10728,3,66.0,1,1,0,0,0,0,0,0,9e-06
10729,3,66.0,1,1,0,0,0,0,0,0,7e-06
10730,2,66.0,1,1,0,0,0,0,0,0,1.1e-05
10731,3,66.0,1,1,0,0,0,0,0,0,9e-06
10732,2,66.0,1,1,0,0,0,0,0,0,1.1e-05
10733,3,66.0,1,1,0,0,0,0,0,0,1e-05
10734,2,66.0,1,1,0,0,0,0,0,0,9e-06
10735,3,66.0,1,1,0,0,0,0,0,0,2.5e-05
10736,2,66.0,1,1,0,0,0,0,0,0,2.8e-05
10737,3,66.0,1,1,0,0,0,0,0,0,2.3e-05
10738,2,66.0,1,1,0,0,0,0,0,0,2.1e-05
10739,3,66.0,1,1,0,0,0,0,0,0,9e-06
10740,3,66.0,1,1,0,0,0,0,0,0,9e-06
10741,3,66.0,1,1,0,0,0,0,0,0,5e-06
10742,2,66.0,1,1,0,0,0,0,0,0,3e-05
10743,3,66.0,1,1,0,0,0,0,0,0,2.5e-05
10744,2,66.0,1,1,0,0,0,0,0,0,6e-06
10745,3,66.0,1,1,0,0,0,0,0,0,4.6e-05
10746,2,66.0,1,1,0,0,0,0,0,0,1e-05
10747,3,66.0,1,1,0,0,0,0,0,0,9e-06
10748,2,66.0,1,1,0,0,0,0,0,0,9e-06
10749,3,66.0,1,1,0,0,0,0,0,0,2.3e-05
10750,2,66.0,1,1,0,0,0,0,0,0,9e-06
10751,3,66.0,1,1,0,0,0,0,0,0,1e-05
10752,3,66.0,1,1,0,0,0,0,0,0,1e-05
10753,3,66.0,1,1,0,0,0,0,0,0,2.3e-05
10754,2,66.0,1,1,0,0,0,0,0,0,3e-05
10755,3,66.0,1,1,0,0,0,0,0,0,2.3e-05
10756,2,66.0,1,1,0,0,0,0,0,0,9e-06
10757,3,66.0,1,1,0,0,0,0,0,0,1e-05
10758,2,66.0,1,1,0,0,0,0,0,0,2.3e-05
10759,2,66.0,1,1,0,0,0,0,0,0,9e-06
10760,3,66.0,1,1,0,0,0,0,0,0,9e-06
10761,2,66.0,1,1,0,0,0,0,0,0,1.2e-05
10762,3,66.0,1,1,0,0,0,0,0,0,1.1e-05
10763,2,66.0,1,1,0,0,0,0,0,0,1e-05
10764,4,66.0,1,1,0,0,0,0,0,0,1e-05
10765,2,66.0,1,1,0,0,0,0,0,0,2.7e-05
10766,3,66.0,1,1,0,0,0,0,0,0,9e-06
