Window_Num,Num_Packets,Avg_DNP3_Length,F0_Confirm,F1_Read,F2_Write,F4_Operate,F5_DirectOperate,F6_DirectOperate_NoResp,F13_ColdRestart,F14_WarmRestart,F129_Response,F130_UnsolicitedResponse,IIN_Val_Change,Analog_Input_Change,Binary_Input_Change,Src_Port_Changed,Dst_Port_Changed
2815,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2816,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2817,3,36.33,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2818,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2819,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2820,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2821,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2822,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2823,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2824,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2825,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2826,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2827,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2828,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2829,4,29.75,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
2830,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2831,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2832,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2833,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2834,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2835,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2836,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2837,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2838,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2839,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2840,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2841,4,29.75,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
2842,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2843,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2844,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2845,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2846,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2847,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
