Window_Num,Num_Packets,Avg_Length,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change,Attack
10791,5,230,0,0,0,0,0
10792,5,230,0,0,0,0,0
10793,5,230,0,0,0,0,0
10794,5,230,0,0,0,0,0
10795,5,230,0,0,0,0,0
10796,5,230,0,0,0,0,0
10797,5,230,0,0,0,0,0
10798,5,230,0,0,0,0,0
10799,5,230,0,0,0,0,0
10800,5,230,0,0,0,0,0
10801,5,230,0,0,0,0,0
10802,5,230,0,0,0,0,0
10803,5,230,0,0,0,0,0
10804,5,230,0,0,0,0,0
10805,5,230,0,0,0,0,0
10806,5,230,0,0,0,0,0
10807,5,230,0,0,0,0,0
10808,5,230,0,0,0,0,0
10809,5,230,0,0,0,0,0
10810,5,230,0,0,0,0,0
10811,5,230,0,0,0,0,0
10812,5,230,0,0,0,0,0
10813,5,230,0,0,0,0,0
10814,5,230,0,0,0,0,0
10815,5,230,0,0,0,0,0
10816,5,230,0,0,0,0,0
10817,5,230,0,0,0,0,0
10818,5,230,0,0,0,0,0
10819,5,230,0,0,0,0,0
10820,5,230,0,0,0,0,0
10821,5,230,0,0,0,0,0
10822,5,230,0,0,0,0,0
10823,5,230,0,0,0,0,0
10824,5,230,0,0,0,0,0
10825,5,230,0,0,0,0,0
10826,5,230,0,0,0,0,0
10827,5,230,0,0,0,0,0
10828,5,230,0,0,0,0,0
10829,5,230,0,0,0,0,0
10830,5,230,0,0,0,0,0
10831,5,230,0,0,0,0,0
10832,5,230,0,0,0,0,0
10833,5,230,0,0,0,0,0
10834,5,230,0,0,0,0,0
10835,5,230,0,0,0,0,0
10836,5,230,0,0,0,0,0
10837,5,230,0,0,0,0,0
10838,5,230,0,0,0,0,0
10839,5,230,0,0,0,0,0
10840,5,230,0,0,0,0,0
10841,5,230,0,0,0,0,0
10842,5,230,0,0,0,0,0
10843,5,230,0,0,0,0,0
10844,5,230,0,0,0,0,0
10845,5,230,0,0,0,0,0
10846,5,230,0,0,0,0,0
10847,5,230,0,0,0,0,0
10848,5,230,0,0,0,0,0
10849,5,230,0,0,0,0,0
10850,5,230,0,0,0,0,0
10851,5,230,0,0,0,0,0
10852,5,230,0,0,0,0,0
10853,5,230,0,0,0,0,0
10854,5,230,0,0,0,0,0
10855,5,230,0,0,0,0,0
10856,5,230,0,0,0,0,0
10857,5,230,0,0,0,0,0
10858,5,230,0,0,0,0,0
10859,5,230,0,0,0,0,0
10860,5,230,0,0,0,0,0
10861,5,230,0,0,0,0,0
10862,5,230,0,0,0,0,0
10863,5,230,0,0,0,0,0
10864,5,230,0,0,0,0,0
10865,5,230,0,0,0,0,0
10866,5,230,0,0,0,0,0
10867,5,230,0,0,0,0,0
10868,5,230,0,0,0,0,0
10869,5,230,0,0,0,0,0
10870,5,230,0,0,0,0,0
10871,5,230,0,0,0,0,0
10872,5,230,0,0,0,0,0
10873,5,230,0,0,0,0,0
10874,5,230,0,0,0,0,0
10875,5,230,0,0,0,0,0
10876,5,230,0,0,0,0,0
10877,5,230,0,0,0,0,0
10878,5,230,0,0,0,0,0
10879,5,230,0,0,0,0,0
10880,5,230,0,0,0,0,0
10881,5,230,0,0,0,0,0
10882,5,230,0,0,0,0,0
10883,5,230,0,0,0,0,0
10884,5,230,0,0,0,0,0
10885,5,230,0,0,0,0,0
10886,5,230,0,0,0,0,0
10887,5,230,0,0,0,0,0
10888,5,230,0,0,0,0,0
10889,5,230,0,0,0,0,0
10890,5,230,0,0,0,0,0
10891,5,230,0,0,0,0,0
10892,5,230,0,0,0,0,0
10893,5,230,0,0,0,0,0
10894,5,230,0,0,0,0,0
10895,5,230,0,0,0,0,0
10896,5,230,0,0,0,0,0
10897,5,230,0,0,0,0,0
10898,5,230,0,0,0,0,0
10899,5,230,0,0,0,0,0
10900,5,230,0,0,0,0,0
10901,5,230,0,0,0,0,0
10902,5,230,0,0,0,0,0
10903,5,230,0,0,0,0,0
10904,5,230,0,0,0,0,0
10905,5,230,0,0,0,0,0
10906,5,230,0,0,0,0,0
10907,5,230,0,0,0,0,0
10908,5,230,0,0,0,0,0
10909,5,230,0,0,0,0,0
10910,5,230,0,0,0,0,0
10911,5,230,0,0,0,0,0
10912,5,230,0,0,0,0,0
10913,5,230,0,0,0,0,0
10914,5,230,0,0,0,0,0
10915,5,230,0,0,0,0,0
10916,5,230,0,0,0,0,0
10917,5,230,0,0,0,0,0
10918,5,230,0,0,0,0,0
10919,5,230,0,0,0,0,0
10920,5,230,0,0,0,0,0
10921,5,230,0,0,0,0,0
10922,5,230,0,0,0,0,0
10923,5,230,0,0,0,0,0
10924,5,230,0,0,0,0,0
10925,5,230,0,0,0,0,0
10926,5,230,0,0,0,0,0
10927,5,230,0,0,0,0,0
10928,5,230,0,0,0,0,0
10929,5,230,0,0,0,0,0
10930,5,230,0,0,0,0,0
10931,5,230,0,0,0,0,0
10932,5,230,0,0,0,0,0
10933,5,230,0,0,0,0,0
10934,5,230,0,0,0,0,0
10935,5,230,0,0,0,0,0
10936,5,230,0,0,0,0,0
10937,5,230,0,0,0,0,0
10938,5,230,0,0,0,0,0
10939,5,230,0,0,0,0,0
10940,5,230,0,0,0,0,0
