Window_Num,Num_Packets,Avg_Length,Flag_Ack,Flag_Retransmission,Flag_Reset,Flag_Syn,Flag_Fin,Src_Port_Changed,Dst_Port_Changed,Round_Trip_Time
1015,6,66.0,1,0,0,0,0,0,0,1.3e-05
1016,4,66.0,1,0,0,0,0,0,0,9e-06
1017,6,66.0,1,0,0,0,0,0,0,9e-06
1018,4,66.0,1,0,0,0,0,0,0,2.4e-05
1019,5,66.0,1,0,0,0,0,0,0,9e-06
1020,5,66.0,1,0,0,0,0,0,0,5.2e-05
1021,6,66.0,1,0,0,0,0,0,0,9e-06
1022,5,66.0,1,0,0,0,0,0,0,1.2e-05
1023,4,66.0,1,0,0,0,0,0,0,1.9e-05
1024,5,66.0,1,0,0,0,0,0,0,1.1e-05
1025,5,66.0,1,0,0,0,0,0,0,1.3e-05
1026,5,66.0,1,0,0,0,0,0,0,1e-05
1027,5,66.0,1,0,0,0,0,0,0,4.9e-05
1028,5,66.0,1,0,0,0,0,0,0,0.040683
1029,4,66.0,1,0,0,0,0,0,0,2.5e-05
1030,6,66.0,1,0,0,0,0,0,0,2.5e-05
1031,4,66.0,1,0,0,0,0,0,0,1.2e-05
1032,6,66.0,1,0,0,0,0,0,0,4.5e-05
1033,5,66.0,1,0,0,0,0,0,0,2.5e-05
1034,5,66.0,1,0,0,0,0,0,0,2.4e-05
1035,5,66.0,1,0,0,0,0,0,0,1.2e-05
1036,5,66.0,1,0,0,0,0,0,0,1e-05
1037,5,66.0,1,0,0,0,0,0,0,1.3e-05
1038,5,66.0,1,0,0,0,0,0,0,9e-06
1039,4,66.0,1,0,0,0,0,0,0,2.4e-05
1040,6,66.0,1,0,0,0,0,0,0,3e-05
1041,4,66.0,1,0,0,0,0,0,0,2.5e-05
1042,6,66.0,1,0,0,0,0,0,0,2.8e-05
1043,4,66.0,1,0,0,0,0,0,0,2.1e-05
1044,5,66.0,1,0,0,0,0,0,0,9e-06
1045,6,66.0,1,0,0,0,0,0,0,2.6e-05
1046,5,66.0,1,0,0,0,0,0,0,2.8e-05
1047,5,66.0,1,0,0,0,0,0,0,3.3e-05
1048,5,66.0,1,0,0,0,0,0,0,1e-05
1049,4,66.0,1,0,0,0,0,0,0,3.3e-05
1050,6,66.0,1,0,0,0,0,0,0,9e-06
1051,4,66.0,1,0,0,0,0,0,0,9e-06
1052,5,66.0,1,0,0,0,0,0,0,9e-06
1053,5,66.0,1,0,0,0,0,0,0,2.8e-05
1054,4,66.0,1,0,0,0,0,0,0,1.2e-05
1055,6,66.0,1,0,0,0,0,0,0,4.9e-05
1056,4,66.0,1,0,0,0,0,0,0,1.2e-05
1057,6,66.0,1,0,0,0,0,0,0,2.3e-05
1058,5,66.0,1,0,0,0,0,0,0,2.4e-05
1059,5,66.0,1,0,0,0,0,0,0,1e-05
1060,5,66.0,1,0,0,0,0,0,0,2.8e-05
1061,5,66.0,1,0,0,0,0,0,0,2.4e-05
1062,4,66.0,1,0,0,0,0,0,0,0.041509
1063,6,66.0,1,0,0,0,0,0,0,2.6e-05
1064,4,66.0,1,0,0,0,0,0,0,2.6e-05
1065,6,66.0,1,0,0,0,0,0,0,1.2e-05
1066,4,66.0,1,0,0,0,0,0,0,2.2e-05
1067,5,66.0,1,0,0,0,0,0,0,2.4e-05
1068,5,66.0,1,0,0,0,0,0,0,2.7e-05
1069,6,66.0,1,0,0,0,0,0,0,2.9e-05
1070,5,66.0,1,0,0,0,0,0,0,1.4e-05
1071,5,66.0,1,0,0,0,0,0,0,1e-05
1072,4,66.0,1,0,0,0,0,0,0,3e-05
1073,6,66.0,1,0,0,0,0,0,0,1e-05
1074,4,66.0,1,0,0,0,0,0,0,2.3e-05
1075,6,66.0,1,0,0,0,0,0,0,2.7e-05
1076,4,66.0,1,0,0,0,0,0,0,2.5e-05
1077,5,66.0,1,0,0,0,0,0,0,9e-06
1078,5,66.0,1,0,0,0,0,0,0,3.3e-05
1079,5,66.0,1,0,0,0,0,0,0,6e-06
1080,5,66.0,1,0,0,0,0,0,0,1.2e-05
1081,6,66.0,1,0,0,0,0,0,0,9e-06
1082,4,66.0,1,0,0,0,0,0,0,1e-05
1083,6,66.0,1,0,0,0,0,0,0,9e-06
1084,4,66.0,1,0,0,0,0,0,0,3.2e-05
1085,4,66.0,1,0,0,0,0,0,0,9e-06
1086,6,66.0,1,0,0,0,0,0,0,2.8e-05
1087,4,66.0,1,0,0,0,0,0,0,2.9e-05
1088,6,66.0,1,0,0,0,0,0,0,1.2e-05
1089,4,66.0,1,0,0,0,0,0,0,1.1e-05
1090,5,66.0,1,0,0,0,0,0,0,2.3e-05
1091,5,66.0,1,0,0,0,0,0,0,2.7e-05
1092,5,66.0,1,0,0,0,0,0,0,1e-05
1093,6,66.0,1,0,0,0,0,0,0,2.7e-05
1094,5,66.0,1,0,0,0,0,0,0,2.4e-05
1095,4,66.0,1,0,0,0,0,0,0,2.5e-05
1096,6,66.0,1,0,0,0,0,0,0,2.4e-05
1097,4,66.0,1,0,0,0,0,0,0,9e-06
1098,6,66.0,1,0,0,0,0,0,0,1.2e-05
1099,4,66.0,1,0,0,0,0,0,0,3e-05
1100,5,66.0,1,0,0,0,0,0,0,2.5e-05
1101,5,66.0,1,0,0,0,0,0,0,1.6e-05
1102,5,66.0,1,0,0,0,0,0,0,2.4e-05
1103,5,66.0,1,0,0,0,0,0,0,1.2e-05
1104,5,66.0,1,0,0,0,0,0,0,9e-06
1105,6,66.0,1,0,0,0,0,0,0,1.1e-05
1106,5,66.0,1,0,0,0,0,0,0,2.3e-05
1107,4,66.0,1,0,0,0,0,0,0,2.9e-05
1108,6,66.0,1,0,0,0,0,0,0,1e-05
1109,4,66.0,1,0,0,0,0,0,0,2.5e-05
1110,6,66.0,1,0,0,0,0,0,0,9e-06
1111,4,66.0,1,0,0,0,0,0,0,1.5e-05
1112,5,66.0,1,0,0,0,0,0,0,2.2e-05
1113,5,66.0,1,0,0,0,0,0,0,1.2e-05
1114,5,66.0,1,0,0,0,0,0,0,9e-06
1115,4,66.0,1,0,0,0,0,0,0,9e-06
1116,5,66.0,1,0,0,0,0,0,0,3.8e-05
1117,6,66.0,1,0,0,0,0,0,0,2.2e-05
1118,5,66.0,1,0,0,0,0,0,0,2.6e-05
1119,5,66.0,1,0,0,0,0,0,0,1e-05
1120,5,66.0,1,0,0,0,0,0,0,2.9e-05
1121,5,66.0,1,0,0,0,0,0,0,0.040701
1122,4,66.0,1,0,0,0,0,0,0,2.6e-05
1123,6,66.0,1,0,0,0,0,0,0,1.1e-05
1124,4,66.0,1,0,0,0,0,0,0,3e-05
1125,5,66.0,1,0,0,0,0,0,0,1.1e-05
1126,5,66.0,1,0,0,0,0,0,0,3e-05
1127,5,66.0,1,0,0,0,0,0,0,4.5e-05
1128,5,66.0,1,0,0,0,0,0,0,1.3e-05
1129,6,66.0,1,0,0,0,0,0,0,9e-06
1130,4,66.0,1,0,0,0,0,0,0,4.3e-05
1131,6,66.0,1,0,0,0,0,0,0,2.8e-05
1132,4,66.0,1,0,0,0,0,0,0,9e-06
1133,6,66.0,1,0,0,0,0,0,0,2.8e-05
1134,4,66.0,1,0,0,0,0,0,0,1.2e-05
1135,5,66.0,1,0,0,0,0,0,0,9e-06
1136,5,66.0,1,0,0,0,0,0,0,3.4e-05
1137,5,66.0,1,0,0,0,0,0,0,9e-06
1138,5,66.0,1,0,0,0,0,0,0,2.8e-05
1139,5,66.0,1,0,0,0,0,0,0,3e-05
1140,4,66.0,1,0,0,0,0,0,0,2.3e-05
1141,7,66.0,1,0,0,0,0,0,0,2.3e-05
1142,4,66.0,1,0,0,0,0,0,0,1e-05
1143,6,66.0,1,0,0,0,0,0,0,2.3e-05
1144,4,66.0,1,0,0,0,0,0,0,2.6e-05
1145,5,66.0,1,0,0,0,0,0,0,9e-06
1146,5,66.0,1,0,0,0,0,0,0,1.3e-05
1147,4,66.0,1,0,0,0,0,0,0,1.3e-05
1148,6,66.0,1,0,0,0,0,0,0,1.4e-05
1149,4,66.0,1,0,0,0,0,0,0,4.7e-05
1150,5,66.0,1,0,0,0,0,0,0,1.1e-05
1151,5,66.0,1,0,0,0,0,0,0,1.6e-05
1152,5,66.0,1,0,0,0,0,0,0,2.1e-05
1153,6,66.0,1,0,0,0,0,0,0,9e-06
1154,5,66.0,1,0,0,0,0,0,0,2.4e-05
1155,4,66.0,1,0,0,0,0,0,0,2.4e-05
1156,6,66.0,1,0,0,0,0,0,0,9e-06
1157,4,66.0,1,0,0,0,0,0,0,9e-06
1158,6,66.0,1,0,0,0,0,0,0,2.7e-05
1159,4,66.0,1,0,0,0,0,0,0,1.2e-05
1160,5,66.0,1,0,0,0,0,0,0,4.2e-05
1161,5,66.0,1,0,0,0,0,0,0,1.3e-05
1162,5,66.0,1,0,0,0,0,0,0,1e-05
1163,5,66.0,1,0,0,0,0,0,0,2.9e-05
1164,5,66.0,1,0,0,0,0,0,0,2.4e-05
1165,5,66.0,1,0,0,0,0,0,0,6e-06
1166,6,66.0,1,0,0,0,0,0,0,1e-05
