Window_Num,Num_Packets,Avg_DNP3_Length,F0_Confirm,F1_Read,F2_Write,F4_Operate,F5_DirectOperate,F6_DirectOperate_NoResp,F13_ColdRestart,F14_WarmRestart,F129_Response,F130_UnsolicitedResponse,IIN_Val_Change,Analog_Input_Change,Binary_Input_Change,Src_Port_Changed,Dst_Port_Changed
1015,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
1016,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1017,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
1018,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1019,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
1020,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
1021,6,23.17,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0
1022,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
1023,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1024,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
1025,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
1026,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
1027,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
1028,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
1029,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1030,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
1031,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1032,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
1033,5,25.8,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
1034,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
1035,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
1036,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
1037,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
1038,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
1039,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1040,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
1041,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1042,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
1043,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1044,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
1045,6,23.17,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
1046,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
1047,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
1048,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
1049,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1050,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
1051,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1052,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
1053,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
1054,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1055,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
1056,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1057,6,23.17,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0
1058,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
1059,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
1060,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
1061,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
1062,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1063,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
1064,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1065,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
1066,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1067,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
1068,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
1069,6,23.17,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0
1070,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
1071,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
1072,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1073,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
1074,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1075,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
1076,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1077,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
1078,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
1079,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
1080,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
1081,6,23.17,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0
1082,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1083,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
1084,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1085,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1086,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
1087,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1088,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
1089,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1090,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
1091,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
