Window_Num,Num_Packets,Avg_Length,IP_Port_Src,IP_Port_Dst,Num_Streams,Flags
11128,2,66.0,"['127.0.0.1:43623', '127.0.0.1:20000']","['127.0.0.1:43623', '127.0.0.1:20000']",1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
11135,2,66.0,['127.0.0.1:43623'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
11136,2,66.0,['127.0.0.1:43623'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
11137,2,66.0,['127.0.0.1:43623'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
11138,3,66.0,['127.0.0.1:43623'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
11139,2,66.0,['127.0.0.1:43623'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
11140,2,66.0,['127.0.0.1:43623'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
11141,4,66.0,['127.0.0.1:43623'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
11142,2,66.0,['127.0.0.1:43623'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
11143,3,66.0,['127.0.0.1:43623'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
11144,2,66.0,['127.0.0.1:43623'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
11145,2,66.0,['127.0.0.1:43623'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
11146,3,66.0,['127.0.0.1:43623'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
11147,2,66.0,['127.0.0.1:43623'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
11148,2,66.0,['127.0.0.1:43623'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
11149,3,66.0,['127.0.0.1:43623'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
11150,2,66.0,['127.0.0.1:43623'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
11151,2,66.0,['127.0.0.1:43623'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
11152,3,66.0,['127.0.0.1:43623'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
11153,2,66.0,['127.0.0.1:43623'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
11154,3,66.0,['127.0.0.1:43623'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
11155,3,66.0,['127.0.0.1:43623'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
11156,2,66.0,['127.0.0.1:43623'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
11157,3,66.0,['127.0.0.1:43623'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
11158,2,66.0,['127.0.0.1:43623'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
11159,2,66.0,['127.0.0.1:43623'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
11160,3,66.0,['127.0.0.1:43623'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
11161,2,66.0,['127.0.0.1:43623'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
11162,2,66.0,['127.0.0.1:43623'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
11163,3,66.0,['127.0.0.1:43623'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
