Window_Num,Num_Packets,Avg_Length,Eth_Src,Eth_Dst,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change
10743,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10744,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10745,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10746,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10747,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10748,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10749,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10750,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10751,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10752,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10753,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10754,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10755,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10756,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10757,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10758,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10759,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
