Window_Num,Num_Packets,Avg_DNP3_Length,IP_Port_Src,IP_Port_Dst,Function_Codes,IIN_Val_Change,IIN_Bits_Set,Data_Object_Change
11080,6,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
11081,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11082,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11083,6,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
11084,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11085,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11086,8,29.12,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0]",0,[],0
11087,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11088,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11089,6,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
11090,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11091,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
