Window_Num,Num_Packets,Avg_DNP3_Length,F0_Confirm,F1_Read,F2_Write,F4_Operate,F5_DirectOperate,F6_DirectOperate_NoResp,F13_ColdRestart,F14_WarmRestart,F129_Response,F130_UnsolicitedResponse,IIN_Val_Change,Analog_Input_Change,Binary_Input_Change,Src_Port_Changed,Dst_Port_Changed
4610,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
4611,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4612,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4613,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
4614,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4615,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
4616,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4617,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4618,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
4619,5,25.8,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4620,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
4621,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4622,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4623,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
4624,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4625,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
4626,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4627,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4628,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
4629,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4630,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4631,7,21.29,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0
4632,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4633,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
4634,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4635,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4636,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
4637,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4638,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
4639,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4640,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4641,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
4642,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4643,7,21.29,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0
4644,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4645,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4646,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
4647,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4648,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
4649,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4650,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4651,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
4652,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4653,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
4654,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4655,6,23.17,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0
4656,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
4657,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4658,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
4659,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4660,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4661,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
4662,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4663,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
4664,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4665,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4666,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
4667,5,33.8,0,0,0,0,0,0,0,0,3,2,0,1,1,0,0
4668,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
4669,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4670,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4671,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
4672,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4673,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
4674,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4675,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4676,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
4677,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4678,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
4679,5,25.8,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4680,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4681,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
4682,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4683,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4684,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
4685,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4686,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
4687,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4688,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
4689,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4690,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4691,6,23.17,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
4692,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4693,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
4694,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4695,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4696,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
4697,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4698,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4699,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
4700,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4701,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
4702,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4703,6,23.17,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0
4704,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
4705,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4706,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
4707,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4708,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
4709,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4710,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4711,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
4712,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4713,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
4714,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4715,6,23.17,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0
4716,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
4717,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4718,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
4719,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4720,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4721,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
4722,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4723,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4724,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
4725,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4726,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
4727,5,25.8,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4728,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4729,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
4730,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4731,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
4732,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4733,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4734,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
4735,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4736,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
4737,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4738,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4739,6,23.17,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
4740,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4741,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
4742,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4743,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4744,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
4745,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4746,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
4747,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4748,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4749,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
4750,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4751,5,25.8,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4752,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
4753,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4754,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
4755,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
4756,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
4757,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
4758,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
