Window_Num,Num_Packets,Avg_Length,Flag_Ack,Flag_Retransmission,Flag_Reset,Flag_Syn,Flag_Fin,Src_Port_Changed,Dst_Port_Changed,Round_Trip_Time
4610,3,66.0,1,0,0,0,0,0,0,0.00117
4611,2,66.0,1,0,0,0,0,0,0,0.00087
4612,3,66.0,1,0,0,0,0,0,0,0.00085
4613,2,66.0,1,0,0,0,0,0,0,0.000866
4614,3,66.0,1,0,0,0,0,0,0,0.001441
4615,2,66.0,1,0,0,0,0,0,0,0.007368
4616,3,66.0,1,0,0,0,0,0,0,0.002604
4617,2,66.0,1,0,0,0,0,0,0,0.000848
4618,3,66.0,1,0,0,0,0,0,0,0.002257
4619,3,66.0,1,0,0,0,0,0,0,0.002385
4620,3,66.0,1,0,0,0,0,0,0,0.003014
4621,2,66.0,1,0,0,0,0,0,0,0.00211
4622,3,66.0,1,0,0,0,0,0,0,0.001014
4623,2,66.0,1,0,0,0,0,0,0,0.001156
4624,2,66.0,1,0,0,0,0,0,0,0.000944
4625,3,66.0,1,0,0,0,0,0,0,0.000848
4626,2,66.0,1,0,0,0,0,0,0,0.001809
4627,3,66.0,1,0,0,0,0,0,0,0.000812
4628,2,66.0,1,0,0,0,0,0,0,0.001209
4629,3,66.0,1,0,0,0,0,0,0,0.000861
4630,2,66.0,1,0,0,0,0,0,0,0.00107
4631,4,66.0,1,0,0,0,0,0,0,0.002353
4632,2,66.0,1,0,0,0,0,0,0,0.001458
4633,3,66.0,1,0,0,0,0,0,0,0.005862
4634,2,66.0,1,0,0,0,0,0,0,0.002296
4635,3,66.0,1,0,0,0,0,0,0,0.000779
4636,2,66.0,1,0,0,0,0,0,0,0.000718
4637,3,66.0,1,0,0,0,0,0,0,0.000752
4638,2,66.0,1,0,0,0,0,0,0,0.001165
4639,3,66.0,1,0,0,0,0,0,0,0.000956
4640,2,66.0,1,0,0,0,0,0,0,0.000892
4641,3,66.0,1,0,0,0,0,0,0,0.00123
4642,2,66.0,1,0,0,0,0,0,0,0.000838
4643,4,66.0,1,0,0,0,0,0,0,0.003316
4644,2,66.0,1,0,0,0,0,0,0,0.000872
4645,3,66.0,1,0,0,0,0,0,0,0.003226
4646,2,66.0,1,0,0,0,0,0,0,0.003429
4647,3,66.0,1,0,0,0,0,0,0,0.002036
4648,2,66.0,1,0,0,0,0,0,0,0.004607
4649,3,66.0,1,0,0,0,0,0,0,0.006054
4650,2,66.0,1,0,0,0,0,0,0,0.005718
4651,3,66.0,1,0,0,0,0,0,0,0.010784
4652,2,66.0,1,0,0,0,0,0,0,0.000773
4653,3,66.0,1,0,0,0,0,0,0,0.000794
4654,2,66.0,1,0,0,0,0,0,0,0.006405
4655,3,66.0,1,0,0,0,0,0,0,0.000749
4656,3,66.0,1,0,0,0,0,0,0,0.001066
4657,2,66.0,1,0,0,0,0,0,0,0.000785
4658,3,66.0,1,0,0,0,0,0,0,0.000999
4659,2,66.0,1,0,0,0,0,0,0,0.001169
4660,3,66.0,1,0,0,0,0,0,0,0.000991
4661,2,66.0,1,0,0,0,0,0,0,0.001434
4662,3,66.0,1,0,0,0,0,0,0,0.001317
4663,2,66.0,1,0,0,0,0,0,0,0.000888
4664,3,66.0,1,0,0,0,0,0,0,0.001253
4665,2,66.0,1,0,0,0,0,0,0,0.000837
4666,3,66.0,1,0,0,0,0,0,0,0.002309
4667,4,66.0,1,0,0,0,0,0,0,0.004658
4668,3,66.0,1,0,0,0,0,0,0,0.003015
4669,2,66.0,1,0,0,0,0,0,0,0.001195
4670,3,66.0,1,0,0,0,0,0,0,0.000785
4671,2,66.0,1,0,0,0,0,0,0,0.000902
4672,3,66.0,1,0,0,0,0,0,0,0.001053
4673,2,66.0,1,0,0,0,0,0,0,0.002571
4674,3,66.0,1,0,0,0,0,0,0,0.003249
4675,2,66.0,1,0,0,0,0,0,0,0.002476
4676,3,66.0,1,0,0,0,0,0,0,0.001977
4677,2,66.0,1,0,0,0,0,0,0,0.001304
4678,3,66.0,1,0,0,0,0,0,0,0.006347
4679,3,66.0,1,0,0,0,0,0,0,0.001095
4680,3,66.0,1,0,0,0,0,0,0,0.001117
4681,2,66.0,1,0,0,0,0,0,0,0.001033
