Window_Num,Num_Packets,Avg_Length,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change,Num_Events
4610,3,133.0,0,0,0,0,0
4611,2,133.0,0,0,0,0,0
4612,3,133.33,0,0,0,0,0
4613,2,134.0,0,0,0,0,0
4614,3,134.0,0,0,0,0,0
4615,2,134.0,0,0,0,0,0
4616,3,134.0,0,0,0,0,0
4617,2,134.0,0,0,0,0,0
4618,3,134.0,0,0,0,0,0
4619,2,134.0,0,0,0,0,0
4620,3,134.0,0,0,0,0,0
4621,2,134.0,0,0,0,0,0
4622,3,134.0,0,0,0,0,0
4623,2,134.0,0,0,0,0,0
4624,3,134.0,0,0,0,0,0
4625,2,134.0,0,0,0,0,0
4626,3,134.0,0,0,0,0,0
4627,2,134.0,0,0,0,0,0
4628,3,134.0,0,0,0,0,0
4629,2,134.0,0,0,0,0,0
4630,3,134.0,0,0,0,0,0
4631,2,134.0,0,0,0,0,0
4632,3,134.0,0,0,0,0,0
4633,2,134.0,0,0,0,0,0
4634,3,134.0,0,0,0,0,0
4635,2,134.0,0,0,0,0,0
4636,3,134.0,0,0,0,0,0
4637,2,134.0,0,0,0,0,0
4638,3,134.0,0,0,0,0,0
4639,2,134.0,0,0,0,0,0
4640,3,134.0,0,0,0,0,0
4641,2,134.0,0,0,0,0,0
4642,3,134.0,0,0,0,0,0
4643,2,134.0,0,0,0,0,0
4644,3,134.0,0,0,0,0,0
4645,2,134.0,0,0,0,0,0
4646,3,134.0,0,0,0,0,0
4647,2,134.0,0,0,0,0,0
4648,3,134.0,0,0,0,0,0
4649,2,134.0,0,0,0,0,0
4650,3,134.0,0,0,0,0,0
4651,2,134.0,0,0,0,0,0
4652,3,134.0,0,0,0,0,0
4653,2,134.0,0,0,0,0,0
4654,3,134.0,0,0,0,0,0
4655,2,134.0,0,0,0,0,0
4656,3,134.0,0,0,0,0,0
4657,2,134.0,0,0,0,0,0
4658,3,134.0,0,0,0,0,0
4659,2,134.0,0,0,0,0,0
4660,3,134.0,0,0,0,0,0
4661,2,134.0,0,0,0,0,0
4662,3,134.0,0,0,0,0,0
4663,2,134.0,0,0,0,0,0
4664,3,134.0,0,0,0,0,0
4665,2,134.0,0,0,0,0,0
4666,3,134.0,0,0,0,0,0
4667,11,132.73,1,0,0,0,0
4668,3,133.0,1,0,0,0,0
4669,2,133.0,1,0,0,0,0
