Window_Num,Num_Packets,Avg_Length,Flag_Ack,Flag_Retransmission,Flag_Reset,Flag_Syn,Flag_Fin,Src_Port_Changed,Dst_Port_Changed,Round_Trip_Time
4610,3,66.0,1,0,0,0,0,0,0,9e-06
4611,2,66.0,1,0,0,0,0,0,0,9e-06
4612,3,66.0,1,0,0,0,0,0,0,9e-06
4613,2,66.0,1,0,0,0,0,0,0,9e-06
4614,3,66.0,1,0,0,0,0,0,0,9e-06
4615,2,66.0,1,0,0,0,0,0,0,9e-06
4616,3,66.0,1,0,0,0,0,0,0,9e-06
4617,2,66.0,1,0,0,0,0,0,0,2.4e-05
4618,3,66.0,1,0,0,0,0,0,0,2.6e-05
4619,3,66.0,1,0,0,0,0,0,0,2.3e-05
4620,3,66.0,1,0,0,0,0,0,0,1.2e-05
4621,2,66.0,1,0,0,0,0,0,0,2.7e-05
4622,3,66.0,1,0,0,0,0,0,0,3.1e-05
4623,2,66.0,1,0,0,0,0,0,0,2.6e-05
4624,2,66.0,1,0,0,0,0,0,0,1e-05
4625,3,66.0,1,0,0,0,0,0,0,7e-06
4626,2,66.0,1,0,0,0,0,0,0,1e-05
4627,3,66.0,1,0,0,0,0,0,0,1.1e-05
4628,2,66.0,1,0,0,0,0,0,0,2.4e-05
4629,3,66.0,1,0,0,0,0,0,0,9e-06
4630,2,66.0,1,0,0,0,0,0,0,9e-06
4631,4,66.0,1,0,0,0,0,0,0,1e-05
4632,2,66.0,1,0,0,0,0,0,0,9e-06
4633,3,66.0,1,0,0,0,0,0,0,2.3e-05
4634,2,66.0,1,0,0,0,0,0,0,9e-06
4635,3,66.0,1,0,0,0,0,0,0,1e-05
4636,2,66.0,1,0,0,0,0,0,0,2.8e-05
4637,3,66.0,1,0,0,0,0,0,0,2.3e-05
4638,2,66.0,1,0,0,0,0,0,0,2.4e-05
4639,3,66.0,1,0,0,0,0,0,0,2.5e-05
4640,2,66.0,1,0,0,0,0,0,0,1e-05
4641,3,66.0,1,0,0,0,0,0,0,9e-06
4642,2,66.0,1,0,0,0,0,0,0,2.6e-05
4643,4,66.0,1,0,0,0,0,0,0,1e-05
4644,2,66.0,1,0,0,0,0,0,0,1.2e-05
4645,3,66.0,1,0,0,0,0,0,0,2.5e-05
4646,2,66.0,1,0,0,0,0,0,0,9e-06
4647,3,66.0,1,0,0,0,0,0,0,9e-06
4648,2,66.0,1,0,0,0,0,0,0,2.8e-05
4649,3,66.0,1,0,0,0,0,0,0,2.4e-05
4650,2,66.0,1,0,0,0,0,0,0,1e-05
4651,3,66.0,1,0,0,0,0,0,0,2.3e-05
4652,2,66.0,1,0,0,0,0,0,0,9e-06
4653,3,66.0,1,0,0,0,0,0,0,1e-05
4654,2,66.0,1,0,0,0,0,0,0,3.4e-05
4655,3,66.0,1,0,0,0,0,0,0,9e-06
4656,3,66.0,1,0,0,0,0,0,0,1e-05
4657,2,66.0,1,0,0,0,0,0,0,1.1e-05
4658,3,66.0,1,0,0,0,0,0,0,9e-06
4659,2,66.0,1,0,0,0,0,0,0,1e-05
4660,3,66.0,1,0,0,0,0,0,0,2.5e-05
4661,2,66.0,1,0,0,0,0,0,0,2.5e-05
4662,3,66.0,1,0,0,0,0,0,0,2.6e-05
4663,2,66.0,1,0,0,0,0,0,0,3.2e-05
4664,3,66.0,1,0,0,0,0,0,0,2.5e-05
4665,2,66.0,1,0,0,0,0,0,0,2.2e-05
4666,3,66.0,1,0,0,0,0,0,0,2.8e-05
4667,3,66.0,1,0,0,0,0,0,0,2.6e-05
4668,3,66.0,1,0,0,0,0,0,0,2.6e-05
4669,2,66.0,1,0,0,0,0,0,0,2.9e-05
4670,3,66.0,1,0,0,0,0,0,0,9e-06
4671,2,66.0,1,0,0,0,0,0,0,9e-06
4672,3,66.0,1,0,0,0,0,0,0,2.5e-05
4673,2,66.0,1,0,0,0,0,0,0,2.8e-05
4674,3,66.0,1,0,0,0,0,0,0,9e-06
4675,2,66.0,1,0,0,0,0,0,0,9e-06
4676,3,66.0,1,0,0,0,0,0,0,9e-06
4677,2,66.0,1,0,0,0,0,0,0,2.6e-05
4678,3,66.0,1,0,0,0,0,0,0,9e-06
4679,3,66.0,1,0,0,0,0,0,0,9e-06
4680,3,66.0,1,0,0,0,0,0,0,2.3e-05
4681,2,66.0,1,0,0,0,0,0,0,9e-06
4682,3,66.0,1,0,0,0,0,0,0,9e-06
4683,2,66.0,1,0,0,0,0,0,0,2.9e-05
4684,3,66.0,1,0,0,0,0,0,0,2.3e-05
4685,2,66.0,1,0,0,0,0,0,0,1e-05
4686,2,66.0,1,0,0,0,0,0,0,1.1e-05
4687,3,66.0,1,0,0,0,0,0,0,1e-05
4688,2,66.0,1,0,0,0,0,0,0,2.7e-05
4689,3,66.0,1,0,0,0,0,0,0,6e-06
4690,2,66.0,1,0,0,0,0,0,0,4.5e-05
4691,4,66.0,1,0,0,0,0,0,0,2.7e-05
4692,2,66.0,1,0,0,0,0,0,0,2.4e-05
4693,3,66.0,1,0,0,0,0,0,0,9e-06
4694,2,66.0,1,0,0,0,0,0,0,9e-06
4695,3,66.0,1,0,0,0,0,0,0,3e-05
4696,2,66.0,1,0,0,0,0,0,0,2.4e-05
4697,3,66.0,1,0,0,0,0,0,0,2.4e-05
4698,2,66.0,1,0,0,0,0,0,0,2.3e-05
4699,3,66.0,1,0,0,0,0,0,0,9e-06
4700,2,66.0,1,0,0,0,0,0,0,9e-06
4701,3,66.0,1,0,0,0,0,0,0,1e-05
4702,2,66.0,1,0,0,0,0,0,0,2.3e-05
4703,4,66.0,1,0,0,0,0,0,0,9e-06
4704,2,66.0,1,0,0,0,0,0,0,9e-06
4705,3,66.0,1,0,0,0,0,0,0,9e-06
4706,2,66.0,1,0,0,0,0,0,0,2.3e-05
4707,3,66.0,1,0,0,0,0,0,0,2.3e-05
4708,2,66.0,1,0,0,0,0,0,0,2.6e-05
4709,3,66.0,1,0,0,0,0,0,0,1e-05
4710,2,66.0,1,0,0,0,0,0,0,2.4e-05
4711,3,66.0,1,0,0,0,0,0,0,1e-05
4712,2,66.0,1,0,0,0,0,0,0,2.6e-05
4713,3,66.0,1,0,0,0,0,0,0,9e-06
4714,2,66.0,1,0,0,0,0,0,0,1e-05
4715,4,66.0,1,0,0,0,0,0,0,2.3e-05
4716,2,66.0,1,0,0,0,0,0,0,1e-05
4717,2,66.0,1,0,0,0,0,0,0,1e-05
4718,3,66.0,1,0,0,0,0,0,0,1.1e-05
4719,2,66.0,1,0,0,0,0,0,0,1e-05
4720,3,66.0,1,0,0,0,0,0,0,1e-05
4721,2,66.0,1,0,0,0,0,0,0,2.9e-05
4722,3,66.0,1,0,0,0,0,0,0,5e-06
4723,2,66.0,1,0,0,0,0,0,0,2.4e-05
4724,3,66.0,1,0,0,0,0,0,0,1e-05
4725,2,66.0,1,0,0,0,0,0,0,9e-06
4726,3,66.0,1,0,0,0,0,0,0,2.3e-05
4727,3,66.0,1,0,0,0,0,0,0,9e-06
4728,3,66.0,1,0,0,0,0,0,0,2.8e-05
4729,2,66.0,1,0,0,0,0,0,0,2.3e-05
4730,3,66.0,1,0,0,0,0,0,0,2.8e-05
