Window_Num,Num_Packets,Avg_Length,Flag_Ack,Flag_Retransmission,Flag_Reset,Flag_Syn,Flag_Fin,Src_Port_Changed,Dst_Port_Changed,Round_Trip_Time
4610,6,66.0,1,0,0,0,0,0,0,1.2e-05
4611,4,66.0,1,0,0,0,0,0,0,8e-06
4612,5,66.0,1,0,0,0,0,0,0,2.6e-05
4613,5,66.0,1,0,0,0,0,0,0,2.7e-05
4614,5,66.0,1,0,0,0,0,0,0,5e-06
4615,5,66.0,1,0,0,0,0,0,0,1.3e-05
4616,5,66.0,1,0,0,0,0,0,0,2.8e-05
4617,4,66.0,1,0,0,0,0,0,0,1e-05
4618,6,66.0,1,0,0,0,0,0,0,1.3e-05
4619,5,66.0,1,0,0,0,0,0,0,9e-06
4620,6,66.0,1,0,0,0,0,0,0,2.4e-05
4621,4,66.0,1,0,0,0,0,0,0,2.7e-05
4622,5,66.0,1,0,0,0,0,0,0,9e-06
4623,5,66.0,1,0,0,0,0,0,0,1.3e-05
4624,5,66.0,1,0,0,0,0,0,0,2.6e-05
4625,5,66.0,1,0,0,0,0,0,0,2.7e-05
4626,5,66.0,1,0,0,0,0,0,0,1e-05
4627,4,66.0,1,0,0,0,0,0,0,2.4e-05
4628,6,66.0,1,0,0,0,0,0,0,2.6e-05
4629,4,66.0,1,0,0,0,0,0,0,2e-05
4630,4,66.0,1,0,0,0,0,0,0,1.1e-05
4631,6,66.0,1,0,0,0,0,0,0,1e-05
4632,4,66.0,1,0,0,0,0,0,0,1.1e-05
4633,6,66.0,1,0,0,0,0,0,0,3.2e-05
4634,4,66.0,1,0,0,0,0,0,0,1.3e-05
4635,5,66.0,1,0,0,0,0,0,0,9e-06
4636,5,66.0,1,0,0,0,0,0,0,1.4e-05
4637,5,66.0,1,0,0,0,0,0,0,1e-05
4638,5,66.0,1,0,0,0,0,0,0,2.9e-05
4639,5,66.0,1,0,0,0,0,0,0,2.5e-05
4640,4,66.0,1,0,0,0,0,0,0,1.1e-05
4641,6,66.0,1,0,0,0,0,0,0,7e-06
4642,4,66.0,1,0,0,0,0,0,0,9e-06
4643,7,66.0,1,0,0,0,0,0,0,9e-06
4644,4,66.0,1,0,0,0,0,0,0,3.9e-05
4645,5,66.0,1,0,0,0,0,0,0,4.2e-05
4646,5,66.0,1,0,0,0,0,0,0,3.6e-05
4647,5,66.0,1,0,0,0,0,0,0,2.5e-05
4648,5,66.0,1,0,0,0,0,0,0,2.9e-05
4649,5,66.0,1,0,0,0,0,0,0,2.4e-05
4650,4,66.0,1,0,0,0,0,0,0,9e-06
4651,6,66.0,1,0,0,0,0,0,0,9e-06
4652,4,66.0,1,0,0,0,0,0,0,0.041894
4653,6,66.0,1,0,0,0,0,0,0,2.9e-05
4654,4,66.0,1,0,0,0,0,0,0,1.6e-05
4655,6,66.0,1,0,0,0,0,0,0,2.4e-05
4656,5,66.0,1,0,0,0,0,0,0,1.3e-05
4657,5,66.0,1,0,0,0,0,0,0,1e-05
4658,5,66.0,1,0,0,0,0,0,0,1.3e-05
4659,5,66.0,1,0,0,0,0,0,0,1e-05
4660,4,66.0,1,0,0,0,0,0,0,1e-05
4661,5,66.0,1,0,0,0,0,0,0,1.3e-05
4662,5,66.0,1,0,0,0,0,0,0,1.1e-05
4663,5,66.0,1,0,0,0,0,0,0,1.3e-05
4664,5,66.0,1,0,0,0,0,0,0,1.3e-05
4665,4,66.0,1,0,0,0,0,0,0,0.041911
4666,6,66.0,1,0,0,0,0,0,0,2.4e-05
4667,5,66.0,1,0,0,0,0,0,0,1.2e-05
4668,6,66.0,1,0,0,0,0,0,0,2.7e-05
4669,4,66.0,1,0,0,0,0,0,0,1.4e-05
4670,5,66.0,1,0,0,0,0,0,0,2.3e-05
4671,5,66.0,1,0,0,0,0,0,0,2.8e-05
4672,5,66.0,1,0,0,0,0,0,0,1e-05
4673,5,66.0,1,0,0,0,0,0,0,3e-05
4674,5,66.0,1,0,0,0,0,0,0,9e-06
4675,4,66.0,1,0,0,0,0,0,0,6e-06
4676,6,66.0,1,0,0,0,0,0,0,1e-05
4677,4,66.0,1,0,0,0,0,0,0,2.6e-05
4678,6,66.0,1,0,0,0,0,0,0,1.2e-05
4679,5,66.0,1,0,0,0,0,0,0,1.7e-05
4680,5,66.0,1,0,0,0,0,0,0,2.8e-05
4681,5,66.0,1,0,0,0,0,0,0,2.8e-05
4682,5,66.0,1,0,0,0,0,0,0,9e-06
4683,4,66.0,1,0,0,0,0,0,0,1e-05
4684,6,66.0,1,0,0,0,0,0,0,2.4e-05
4685,4,66.0,1,0,0,0,0,0,0,9e-06
4686,6,66.0,1,0,0,0,0,0,0,2.2e-05
4687,4,66.0,1,0,0,0,0,0,0,2.1e-05
4688,6,66.0,1,0,0,0,0,0,0,3.2e-05
4689,4,66.0,1,0,0,0,0,0,0,1.5e-05
4690,5,66.0,1,0,0,0,0,0,0,4.9e-05
4691,6,66.0,1,0,0,0,0,0,0,2.7e-05
4692,4,66.0,1,0,0,0,0,0,0,1.2e-05
4693,6,66.0,1,0,0,0,0,0,0,2.8e-05
4694,4,66.0,1,0,0,0,0,0,0,1.6e-05
4695,5,66.0,1,0,0,0,0,0,0,8e-06
4696,5,66.0,1,0,0,0,0,0,0,1.3e-05
4697,5,66.0,1,0,0,0,0,0,0,9e-06
4698,4,66.0,1,0,0,0,0,0,0,1e-05
4699,6,66.0,1,0,0,0,0,0,0,0.040532
4700,4,66.0,1,0,0,0,0,0,0,1e-05
4701,6,66.0,1,0,0,0,0,0,0,1.2e-05
4702,4,66.0,1,0,0,0,0,0,0,2.6e-05
4703,6,66.0,1,0,0,0,0,0,0,2.4e-05
4704,5,66.0,1,0,0,0,0,0,0,1.6e-05
4705,5,66.0,1,0,0,0,0,0,0,2.4e-05
4706,5,66.0,1,0,0,0,0,0,0,2.9e-05
4707,5,66.0,1,0,0,0,0,0,0,9e-06
4708,5,66.0,1,0,0,0,0,0,0,1.3e-05
4709,5,66.0,1,0,0,0,0,0,0,2.4e-05
4710,4,66.0,1,0,0,0,0,0,0,2.5e-05
4711,6,66.0,1,0,0,0,0,0,0,2.8e-05
4712,4,66.0,1,0,0,0,0,0,0,9e-06
4713,6,66.0,1,0,0,0,0,0,0,9e-06
4714,4,66.0,1,0,0,0,0,0,0,3.5e-05
4715,6,66.0,1,0,0,0,0,0,0,9e-06
4716,5,66.0,1,0,0,0,0,0,0,3.2e-05
4717,5,66.0,1,0,0,0,0,0,0,2.3e-05
4718,5,66.0,1,0,0,0,0,0,0,1.3e-05
4719,5,66.0,1,0,0,0,0,0,0,2.9e-05
4720,4,66.0,1,0,0,0,0,0,0,9e-06
4721,6,66.0,1,0,0,0,0,0,0,1e-05
4722,4,66.0,1,0,0,0,0,0,0,3.2e-05
4723,4,66.0,1,0,0,0,0,0,0,9e-06
4724,6,66.0,1,0,0,0,0,0,0,1.3e-05
4725,4,66.0,1,0,0,0,0,0,0,3.3e-05
4726,6,66.0,1,0,0,0,0,0,0,2.7e-05
4727,5,66.0,1,0,0,0,0,0,0,3e-05
4728,5,66.0,1,0,0,0,0,0,0,1e-05
4729,5,66.0,1,0,0,0,0,0,0,4.9e-05
4730,5,66.0,1,0,0,0,0,0,0,1e-05
4731,5,66.0,1,0,0,0,0,0,0,1.3e-05
4732,5,66.0,1,0,0,0,0,0,0,2.3e-05
4733,4,66.0,1,0,0,0,0,0,0,2.6e-05
4734,6,66.0,1,0,0,0,0,0,0,1.2e-05
4735,4,66.0,1,0,0,0,0,0,0,2.8e-05
4736,6,66.0,1,0,0,0,0,0,0,1.2e-05
4737,4,66.0,1,0,0,0,0,0,0,3.4e-05
4738,5,66.0,1,0,0,0,0,0,0,1e-05
4739,6,66.0,1,0,0,0,0,0,0,4.7e-05
4740,5,66.0,1,0,0,0,0,0,0,2.5e-05
4741,5,66.0,1,0,0,0,0,0,0,2.9e-05
4742,5,66.0,1,0,0,0,0,0,0,2.6e-05
4743,4,66.0,1,0,0,0,0,0,0,1.1e-05
4744,6,66.0,1,0,0,0,0,0,0,9e-06
4745,4,66.0,1,0,0,0,0,0,0,3e-05
4746,6,66.0,1,0,0,0,0,0,0,1e-05
4747,4,66.0,1,0,0,0,0,0,0,1.3e-05
4748,5,66.0,1,0,0,0,0,0,0,2.8e-05
4749,5,66.0,1,0,0,0,0,0,0,2.9e-05
4750,5,66.0,1,0,0,0,0,0,0,9e-06
4751,5,66.0,1,0,0,0,0,0,0,1e-05
4752,6,66.0,1,0,0,0,0,0,0,1e-05
4753,4,66.0,1,0,0,0,0,0,0,2.6e-05
4754,5,66.0,1,0,0,0,0,0,0,3e-05
4755,5,66.0,1,0,0,0,0,0,0,9e-06
4756,4,66.0,1,0,0,0,0,0,0,9e-06
4757,6,66.0,1,0,0,0,0,0,0,1e-05
4758,4,66.0,1,0,0,0,0,0,0,2.1e-05
4759,6,66.0,1,0,0,0,0,0,0,1.2e-05
4760,4,66.0,1,0,0,0,0,0,0,3e-05
4761,6,66.0,1,0,0,0,0,0,0,3.1e-05
4762,4,66.0,1,0,0,0,0,0,0,2.3e-05
4763,6,66.0,1,0,0,0,0,0,0,1e-05
4764,5,66.0,1,0,0,0,0,0,0,2.7e-05
4765,5,66.0,1,0,0,0,0,0,0,2.4e-05
4766,4,66.0,1,0,0,0,0,0,0,1e-05
4767,6,66.0,1,0,0,0,0,0,0,9e-06
4768,4,66.0,1,0,0,0,0,0,0,1e-05
4769,6,66.0,1,0,0,0,0,0,0,1.2e-05
4770,4,66.0,1,0,0,0,0,0,0,1.2e-05
4771,5,66.0,1,0,0,0,0,0,0,2.5e-05
4772,5,66.0,1,0,0,0,0,0,0,1e-05
4773,5,66.0,1,0,0,0,0,0,0,2.3e-05
4774,5,66.0,1,0,0,0,0,0,0,2.7e-05
4775,6,66.0,1,0,0,0,0,0,0,9e-06
4776,4,66.0,1,0,0,0,0,0,0,9e-06
4777,6,66.0,1,0,0,0,0,0,0,2.8e-05
4778,4,66.0,1,0,0,0,0,0,0,1e-05
4779,6,66.0,1,0,0,0,0,0,0,2.4e-05
4780,4,66.0,1,0,0,0,0,0,0,9e-06
4781,5,66.0,1,0,0,0,0,0,0,9e-06
4782,5,66.0,1,0,0,0,0,0,0,2.9e-05
4783,5,66.0,1,0,0,0,0,0,0,9e-06
4784,5,66.0,1,0,0,0,0,0,0,3.4e-05
4785,4,66.0,1,0,0,0,0,0,0,1.3e-05
4786,5,66.0,1,0,0,0,0,0,0,2.4e-05
4787,6,66.0,1,0,0,0,0,0,0,1.5e-05
4788,5,66.0,1,0,0,0,0,0,0,1.1e-05
4789,5,66.0,1,0,0,0,0,0,0,4e-05
4790,5,66.0,1,0,0,0,0,0,0,9e-06
4791,4,66.0,1,0,0,0,0,0,0,9e-06
4792,6,66.0,1,0,0,0,0,0,0,2.5e-05
4793,4,66.0,1,0,0,0,0,0,0,2.6e-05
4794,6,66.0,1,0,0,0,0,0,0,3.1e-05
4795,4,66.0,1,0,0,0,0,0,0,3e-05
4796,5,66.0,1,0,0,0,0,0,0,9e-06
4797,5,66.0,1,0,0,0,0,0,0,3.7e-05
4798,5,66.0,1,0,0,0,0,0,0,9e-06
4799,6,66.0,1,0,0,0,0,0,0,1.2e-05
4800,5,66.0,1,0,0,0,0,0,0,2.6e-05
4801,4,66.0,1,0,0,0,0,0,0,9e-06
4802,6,66.0,1,0,0,0,0,0,0,2.4e-05
4803,4,66.0,1,0,0,0,0,0,0,9e-06
4804,6,66.0,1,0,0,0,0,0,0,2.6e-05
4805,4,66.0,1,0,0,0,0,0,0,2e-05
4806,5,66.0,1,0,0,0,0,0,0,2.4e-05
4807,5,66.0,1,0,0,0,0,0,0,3.2e-05
4808,5,66.0,1,0,0,0,0,0,0,2.4e-05
4809,5,66.0,1,0,0,0,0,0,0,1.2e-05
4810,5,66.0,1,0,0,0,0,0,0,2.4e-05
4811,5,66.0,1,0,0,0,0,0,0,9e-06
4812,6,66.0,1,0,0,0,0,0,0,9e-06
