Window_Num,Num_Packets,Avg_Length,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change
9710,1,285.0,0,0,0,0
9711,5,285.0,0,0,0,0
9712,5,285.0,0,0,0,0
9713,5,285.0,0,0,0,0
9714,5,285.0,0,0,0,0
9715,5,285.0,0,0,0,0
9716,5,285.0,0,0,0,0
9717,5,285.0,0,0,0,0
9718,5,285.0,0,0,0,0
9719,5,285.0,0,0,0,0
9720,5,285.0,0,0,0,0
9721,5,285.0,0,0,0,0
9722,5,285.0,0,0,0,0
9723,5,285.0,0,0,0,0
9724,5,285.0,0,0,0,0
9725,5,285.0,0,0,0,0
9726,5,285.0,0,0,0,0
9727,5,285.0,0,0,0,0
9728,5,285.0,0,0,0,0
9729,5,285.0,0,0,0,0
9730,5,285.0,0,0,0,0
9731,5,285.0,0,0,0,0
9732,5,285.0,0,0,0,0
9733,5,285.0,0,0,0,0
9734,5,285.0,0,0,0,0
9735,5,285.0,0,0,0,0
9736,5,285.0,0,0,0,0
9737,5,285.0,0,0,0,0
9738,5,285.0,0,0,0,0
9739,5,285.0,0,0,0,0
9740,5,285.0,0,0,0,0
9741,5,285.0,0,0,0,0
9742,5,285.0,0,0,0,0
9743,5,285.0,0,0,0,0
9744,5,285.0,0,0,0,0
9745,5,285.0,0,0,0,0
9746,5,285.0,0,0,0,0
9747,5,285.0,0,0,0,0
9748,5,285.0,0,0,0,0
9749,5,285.0,0,0,0,0
9750,5,285.0,0,0,0,0
9751,5,285.0,0,0,0,0
9752,5,285.0,0,0,0,0
9753,5,285.0,0,0,0,0
9754,5,285.0,0,0,0,0
9755,5,285.0,0,0,0,0
9756,5,285.0,0,0,0,0
9757,5,285.0,0,0,0,0
9758,5,285.0,0,0,0,0
9759,5,285.0,0,0,0,0
9760,5,285.0,0,0,0,0
9761,5,285.0,0,0,0,0
9762,5,285.0,0,0,0,0
9763,5,285.0,0,0,0,0
9764,5,285.0,0,0,0,0
9765,5,285.0,0,0,0,0
