Window_Num,Num_Packets,Avg_Length,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change
9712,4,229.0,0,0,0,0
9713,5,229.0,0,0,0,0
9714,5,229.0,0,0,0,0
9715,5,229.0,0,0,0,0
9716,5,229.0,0,0,0,0
9717,5,229.0,0,0,0,0
9718,5,229.0,0,0,0,0
9719,5,229.0,0,0,0,0
9720,5,229.0,0,0,0,0
9721,5,229.0,0,0,0,0
9722,5,229.0,0,0,0,0
9723,5,229.0,0,0,0,0
9724,5,229.0,0,0,0,0
9725,5,229.0,0,0,0,0
9726,5,229.0,0,0,0,0
9727,5,229.0,0,0,0,0
9728,5,229.0,0,0,0,0
9729,5,229.0,0,0,0,0
9730,5,229.0,0,0,0,0
9731,5,229.0,0,0,0,0
9732,5,229.0,0,0,0,0
9733,5,229.0,0,0,0,0
9734,5,229.0,0,0,0,0
9735,5,229.0,0,0,0,0
9736,5,229.0,0,0,0,0
9737,5,229.0,0,0,0,0
9738,5,229.0,0,0,0,0
9739,5,229.0,0,0,0,0
9740,5,229.0,0,0,0,0
9741,5,229.0,0,0,0,0
9742,5,229.0,0,0,0,0
9743,5,229.0,0,0,0,0
9744,5,229.0,0,0,0,0
9745,5,229.0,0,0,0,0
9746,5,229.0,0,0,0,0
9747,5,229.0,0,0,0,0
9748,5,229.0,0,0,0,0
9749,5,229.0,0,0,0,0
9750,5,229.0,0,0,0,0
9751,5,229.0,0,0,0,0
9752,4,229.0,0,0,0,0
9753,5,229.0,0,0,0,0
9754,5,229.0,0,0,0,0
9755,5,229.0,0,0,0,0
9756,5,229.0,0,0,0,0
9757,5,229.0,0,0,0,0
9758,5,229.0,0,0,0,0
9759,5,229.0,0,0,0,0
9760,5,229.0,0,0,0,0
9761,5,229.0,0,0,0,0
9762,5,229.0,0,0,0,0
9763,5,229.0,0,0,0,0
9764,5,229.0,0,0,0,0
9765,5,229.0,0,0,0,0
9766,5,229.0,0,0,0,0
9767,5,229.0,0,0,0,0
9768,5,229.0,0,0,0,0
9769,5,229.0,0,0,0,0
9770,5,229.0,0,0,0,0
9771,5,229.0,0,0,0,0
9772,5,229.0,0,0,0,0
9773,5,229.0,0,0,0,0
9774,5,229.0,0,0,0,0
9775,5,229.0,0,0,0,0
9776,5,229.0,0,0,0,0
9777,5,229.0,0,0,0,0
9778,5,229.0,0,0,0,0
9779,5,229.0,0,0,0,0
9780,5,229.0,0,0,0,0
9781,5,229.0,0,0,0,0
9782,5,229.0,0,0,0,0
9783,5,229.0,0,0,0,0
9784,5,229.0,0,0,0,0
9785,5,229.0,0,0,0,0
9786,5,229.0,0,0,0,0
9787,5,229.0,0,0,0,0
9788,5,229.0,0,0,0,0
9789,5,229.0,0,0,0,0
9790,5,229.0,0,0,0,0
9791,5,229.0,0,0,0,0
