Window_Num,Num_Packets,Avg_DNP3_Length,F0_Confirm,F1_Read,F2_Write,F4_Operate,F5_DirectOperate,F6_DirectOperate_NoResp,F13_ColdRestart,F14_WarmRestart,F129_Response,F130_UnsolicitedResponse,IIN_Val_Change,Data_Object_Change,Src_Port_Changed,Dst_Port_Changed,Attack
10901,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10902,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10903,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10904,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10905,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10906,4,29.75,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
10907,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10908,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10909,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10910,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10911,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10912,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10913,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10914,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10915,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10916,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10917,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10918,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10919,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10920,3,36.33,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10921,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10922,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10923,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10924,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10925,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10926,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10927,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10928,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10929,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10930,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10931,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10932,3,36.33,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10933,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10934,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10935,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10936,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10937,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10938,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10939,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10940,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
