Window_Num,Num_Packets,Avg_DNP3_Length,F0_Confirm,F1_Read,F2_Write,F4_Operate,F5_DirectOperate,F6_DirectOperate_NoResp,F13_ColdRestart,F14_WarmRestart,F129_Response,F130_UnsolicitedResponse,IIN_Val_Change,Data_Object_Change,Src_Port_Changed,Dst_Port_Changed,Attack
10666,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10667,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10668,3,50.67,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10669,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10670,2,10,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1
10671,2,10,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1
10672,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10673,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10674,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10675,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10676,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10677,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10678,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10679,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10680,3,50.67,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10681,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10682,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10683,3,10,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1
10684,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10685,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10686,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10687,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10688,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10689,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10690,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10691,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10692,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10693,3,50.67,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10694,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10695,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10696,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10697,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10698,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10699,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10700,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10701,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10702,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10703,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10704,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10705,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10706,4,40.5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
10707,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10708,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10709,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10710,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10711,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10712,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10713,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10714,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10715,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10716,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10717,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10718,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10719,3,50.67,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10720,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10721,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10722,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10723,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10724,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10725,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10726,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10727,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10728,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10729,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10730,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10731,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10732,3,50.67,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10733,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10734,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10735,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10736,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10737,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10738,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10739,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10740,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10741,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10742,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10743,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10744,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10745,4,40.5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
10746,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10747,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10748,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10749,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10750,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10751,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10752,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10753,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10754,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10755,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10756,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10757,3,50.67,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10758,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10759,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10760,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10761,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10762,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10763,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10764,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10765,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10766,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10767,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10768,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10769,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10770,4,40.5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
10771,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10772,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10773,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10774,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10775,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10776,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10777,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10778,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10779,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10780,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10781,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10782,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10783,3,50.67,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10784,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10785,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10786,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10787,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10788,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10789,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10790,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10791,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10792,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10793,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10794,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10795,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10796,3,50.67,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10797,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10798,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10799,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10800,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10801,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10802,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10803,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10804,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10805,4,31.5,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
10806,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10807,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10808,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10809,4,40.5,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0
10810,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10811,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10812,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10813,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10814,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10815,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10816,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10817,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10818,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10819,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10820,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
