Window_Num,Num_Packets,Avg_Length,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change,Attack
10611,5,207,0,0,0,0,0
10612,5,207,0,0,0,0,0
10613,5,207,0,0,0,0,0
10614,5,207,0,0,0,0,0
10615,5,207,0,0,0,0,0
10616,5,207,0,0,0,0,0
10617,5,207,0,0,0,0,0
10618,5,207,0,0,0,0,0
10619,5,207,0,0,0,0,0
10620,5,207,0,0,0,0,0
10621,5,207,0,0,0,0,0
10622,5,207,0,0,0,0,0
10623,5,207,0,0,0,0,0
10624,5,207,0,0,0,0,0
10625,5,207,0,0,0,0,0
10626,4,207,0,0,0,0,0
10627,5,207,0,0,0,0,0
10628,5,207,0,0,0,0,0
10629,5,207,0,0,0,0,0
10630,5,207,0,0,0,0,0
10631,5,207,0,0,0,0,0
10632,5,207,0,0,0,0,0
10633,5,207,0,0,0,0,0
10634,5,207,0,0,0,0,0
10635,5,207,0,0,0,0,0
10636,5,207,0,0,0,0,0
10637,5,207,0,0,0,0,0
10638,5,207,0,0,0,0,0
10639,5,207,0,0,0,0,0
10640,5,207,0,0,0,0,0
10641,5,207,0,0,0,0,0
10642,5,207,0,0,0,0,0
10643,5,207,0,0,0,0,0
10644,5,207,0,0,0,0,0
10645,5,207,0,0,0,0,0
10646,5,207,0,0,0,0,0
10647,5,207,0,0,0,0,0
10648,5,207,0,0,0,0,0
10649,5,207,0,0,0,0,0
10650,5,207,0,0,0,0,0
10651,5,207,0,0,0,0,0
10652,5,207,0,0,0,0,0
10653,5,207,0,0,0,0,0
10654,5,207,0,0,0,0,0
10655,5,207,0,0,0,0,0
10656,4,207,0,0,0,0,0
10657,5,207,0,0,0,0,0
10658,5,207,0,0,0,0,0
10659,5,207,0,0,0,0,0
10660,5,207,0,0,0,0,0
10661,5,207,0,0,0,0,0
10662,5,207,0,0,0,0,0
10663,5,207,0,0,0,0,0
10664,5,207,0,0,0,0,0
10665,5,207,0,0,0,0,0
10666,5,207,0,0,0,0,0
10667,5,207,0,0,0,0,0
10668,5,207,0,0,0,0,0
10669,5,207,0,0,0,0,0
10670,5,207,0,0,0,0,0
10671,5,207,0,0,0,0,0
10672,5,207,0,0,0,0,0
10673,5,207,0,0,0,0,0
10674,5,207,0,0,0,0,0
10675,5,207,0,0,0,0,0
10676,5,207,0,0,0,0,0
10677,5,207,0,0,0,0,0
10678,5,207,0,0,0,0,0
10679,5,207,0,0,0,0,0
10680,5,207,0,0,0,0,0
10681,5,207,0,0,0,0,0
10682,5,207,0,0,0,0,0
10683,5,207,0,0,0,0,0
10684,5,207,0,0,0,0,0
10685,5,207,0,0,0,0,0
10686,4,207,0,0,0,0,0
10687,5,207,0,0,0,0,0
10688,5,207,0,0,0,0,0
10689,5,207,0,0,0,0,0
10690,5,207,0,0,0,0,0
10691,5,207,0,0,0,0,0
10692,5,207,0,0,0,0,0
10693,5,207,0,0,0,0,0
10694,5,207,0,0,0,0,0
10695,5,207,0,0,0,0,0
10696,5,207,0,0,0,0,0
10697,5,207,0,0,0,0,0
10698,5,207,0,0,0,0,0
10699,5,207,0,0,0,0,0
10700,5,207,0,0,0,0,0
10701,5,207,0,0,0,0,0
10702,5,207,0,0,0,0,0
10703,5,207,0,0,0,0,0
10704,5,207,0,0,0,0,0
10705,5,207,0,0,0,0,0
10706,5,207,0,0,0,0,0
10707,5,207,0,0,0,0,0
10708,5,207,0,0,0,0,0
10709,5,207,0,0,0,0,0
10710,5,207,0,0,0,0,0
10711,5,207,0,0,0,0,0
10712,5,207,0,0,0,0,0
10713,5,207,0,0,0,0,0
10714,5,207,0,0,0,0,0
10715,5,207,0,0,0,0,0
10716,4,207,0,0,0,0,0
10717,5,207,0,0,0,0,0
10718,5,207,0,0,0,0,0
10719,5,207,0,0,0,0,0
10720,5,207,0,0,0,0,0
10721,5,207,0,0,0,0,0
10722,5,207,0,0,0,0,0
10723,5,207,0,0,0,0,0
10724,5,207,0,0,0,0,0
10725,5,207,0,0,0,0,0
10726,5,207,0,0,0,0,0
10727,5,207,0,0,0,0,0
10728,5,207,0,0,0,0,0
10729,5,207,0,0,0,0,0
10730,5,207,0,0,0,0,0
10731,5,207,0,0,0,0,0
10732,5,207,0,0,0,0,0
10733,5,207,0,0,0,0,0
10734,5,207,0,0,0,0,0
10735,5,207,0,0,0,0,0
10736,5,207,0,0,0,0,0
10737,5,207,0,0,0,0,0
10738,5,207,0,0,0,0,0
10739,5,207,0,0,0,0,0
10740,5,207,0,0,0,0,0
10741,5,207,0,0,0,0,0
10742,5,207,0,0,0,0,0
10743,5,207,0,0,0,0,0
10744,5,207,0,0,0,0,0
10745,5,207,0,0,0,0,0
10746,4,207,0,0,0,0,0
10747,5,207,0,0,0,0,0
10748,5,207,0,0,0,0,0
10749,5,207,0,0,0,0,0
10750,5,207,0,0,0,0,0
10751,5,207,0,0,0,0,0
10752,5,207,0,0,0,0,0
10753,5,207,0,0,0,0,0
10754,5,207,0,0,0,0,0
10755,5,207,0,0,0,0,0
10756,5,207,0,0,0,0,0
10757,5,207,0,0,0,0,0
10758,5,207,0,0,0,0,0
10759,5,207,0,0,0,0,0
10760,5,207,0,0,0,0,0
10761,5,207,0,0,0,0,0
10762,5,207,0,0,0,0,0
10763,5,207,0,0,0,0,0
10764,5,207,0,0,0,0,0
10765,5,207,0,0,0,0,0
10766,5,207,0,0,0,0,0
10767,5,207,0,0,0,0,0
10768,5,207,0,0,0,0,0
10769,5,207,0,0,0,0,0
10770,5,207,0,0,0,0,0
10771,5,207,0,0,0,0,0
10772,5,207,0,0,0,0,0
10773,5,207,0,0,0,0,0
10774,5,207,0,0,0,0,0
10775,5,207,0,0,0,0,0
10776,4,207,0,0,0,0,0
10777,5,207,0,0,0,0,0
10778,5,207,0,0,0,0,0
10779,5,207,0,0,0,0,0
10780,5,207,0,0,0,0,0
10781,5,207,0,0,0,0,0
10782,5,207,0,0,0,0,0
10783,5,207,0,0,0,0,0
10784,5,207,0,0,0,0,0
10785,5,207,0,0,0,0,0
10786,5,207,0,0,0,0,0
10787,5,207,0,0,0,0,0
10788,5,207,0,0,0,0,0
10789,5,207,0,0,0,0,0
10790,5,207,0,0,0,0,0
